source_mat_id,source_mat_id_orig,samp_description,tax_id,scientific_name,investigation_type,env_material,collection_date,sampling_event,sampl_person,sampl_person_orcid,tidal_stage,depth,replicate,samp_size_vol,time_fi,size_frac,size_frac_low,size_frac_up,membr_cut,samp_collect_device,samp_mat_process,samp_mat_process_dev,samp_store_date,samp_store_loc,samp_store_temp,store_person,store_person_orcid,other_person,other_person_orcid,long_store,ship_date,arr_date_hq,store_temp_hq,ship_date_seq,arr_date_seq,failure,failure_comment,ENA_accession_number_sample
EMOBON_BPNS_Wa_210701_200um_1,EMOBON 210701 330 WaSOP1 3μm R1,EMOBON metagenome water sample from station BPNS collected on 2021-07-01 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-07-01,BPNS_Wa_210701,Sander Delacauw,0000-0002-5400-2891,ebb_tide,20.54,1.0,10.0,0.2,3-200,3.0,200.0,True,Niskin Bottle,WaSOP1,Since the pump and the filtration units had not yet arrived 20L of water was taken and frozen. These were filtered 8 weeks later.,2021-07-01,MSO LifeWatch Lab -80 Freezer,-80.0,Sander Delacauw,0000-0002-5400-2891,Rune Lagaisse,0000-0001-9191-9140,False,2021-10-05,2021-10-08,-70.0,2021-11-24,2021-11-24,False,,
EMOBON_BPNS_Wa_210701_200um_2,EMOBON 210701 330 WaSOP1 3µm R2,EMOBON metagenome water sample from station BPNS collected on 2021-07-01 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-07-01,BPNS_Wa_210701,Sander Delacauw,0000-0002-5400-2891,ebb_tide,20.54,2.0,10.0,0.2,3-200,3.0,200.0,True,Niskin Bottle,WaSOP1,Since the pump and the filtration units had not yet arrived 20L of water was taken and frozen. These were filtered 8 weeks later.,2021-07-01,MSO LifeWatch Lab -80 Freezer,-80.0,Sander Delacauw,0000-0002-5400-2891,Rune Lagaisse,0000-0001-9191-9140,False,2021-10-05,2021-10-08,-70.0,2021-11-24,2021-11-24,False,,
EMOBON_BPNS_Wa_210701_200um_3,EMOBON 210701 330 WaSOP1 3µm R3,EMOBON metagenome water sample from station BPNS collected on 2021-07-01 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-07-01,BPNS_Wa_210701,Sander Delacauw,0000-0002-5400-2891,ebb_tide,20.54,3.0,10.0,0.2,3-200,3.0,200.0,True,Niskin Bottle,WaSOP1,Since the pump and the filtration units had not yet arrived 20L of water was taken and frozen. These were filtered 8 weeks later.,2021-07-01,MSO LifeWatch Lab -80 Freezer,-80.0,Sander Delacauw,0000-0002-5400-2891,Rune Lagaisse,0000-0001-9191-9140,True,,,,,,,,
EMOBON_BPNS_Wa_210701_200um_4,EMOBON 210701 330 WaSOP1 3µm R4,EMOBON metagenome water sample from station BPNS collected on 2021-07-01 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-07-01,BPNS_Wa_210701,Sander Delacauw,0000-0002-5400-2891,ebb_tide,20.54,4.0,10.0,0.2,3-200,3.0,200.0,True,Niskin Bottle,WaSOP1,Since the pump and the filtration units had not yet arrived 20L of water was taken and frozen. These were filtered 8 weeks later.,2021-07-01,MSO LifeWatch Lab -80 Freezer,-80.0,Sander Delacauw,0000-0002-5400-2891,Rune Lagaisse,0000-0001-9191-9140,True,,,,,,,,
EMOBON_BPNS_Wa_210701_200um_blank,EMOBON 210701 330 WaSOP1 3µm Blank,EMOBON metagenome water sample from station BPNS collected on 2021-07-01 size fraction 3-200um,32644,unidentified,metagenome,MilliQ water [ENVO:00003065],2021-07-01,BPNS_Wa_210701,Sander Delacauw,0000-0002-5400-2891,,,,10.0,0.033333,3-200,3.0,200.0,,Niskin Bottle,WaSOP1,Since the pump and the filtration units had not yet arrived 20L of water was taken and frozen. These were filtered 8 weeks later.,2021-07-01,MSO LifeWatch Lab -80 Freezer,-80.0,Sander Delacauw,0000-0002-5400-2891,Rune Lagaisse,0000-0001-9191-9140,True,,,,,,,,
EMOBON_BPNS_Wa_210701_3um_2,EMOBON 210701 330 WaSOP1 0.2µm R2,EMOBON metagenome water sample from station BPNS collected on 2021-07-01 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-07-01,BPNS_Wa_210701,Sander Delacauw,0000-0002-5400-2891,ebb_tide,20.54,2.0,10.0,0.2,0.2-3,0.2,3.0,True,Niskin Bottle,WaSOP1,Since the pump and the filtration units had not yet arrived 20L of water was taken and frozen. These were filtered 8 weeks later.,2021-07-01,MSO LifeWatch Lab -80 Freezer,-80.0,Sander Delacauw,0000-0002-5400-2891,Rune Lagaisse,0000-0001-9191-9140,False,2021-10-05,2021-10-08,-70.0,2021-11-24,2021-11-24,False,,
EMOBON_BPNS_Wa_210701_3um_1,EMOBON 210701 330 WaSOP1 0.2µm R1,EMOBON metagenome water sample from station BPNS collected on 2021-07-01 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-07-01,BPNS_Wa_210701,Sander Delacauw,0000-0002-5400-2891,ebb_tide,20.54,1.0,10.0,0.2,0.2-3,0.2,3.0,True,Niskin Bottle,WaSOP1,Since the pump and the filtration units had not yet arrived 20L of water was taken and frozen. These were filtered 8 weeks later.,2021-07-01,MSO LifeWatch Lab -80 Freezer,-80.0,Sander Delacauw,0000-0002-5400-2891,Rune Lagaisse,0000-0001-9191-9140,False,2021-10-05,2021-10-08,-70.0,2021-11-24,2021-11-24,False,,
EMOBON_BPNS_Wa_210701_3um_3,EMOBON 210701 330 WaSOP1 0.2µm R3,EMOBON metagenome water sample from station BPNS collected on 2021-07-01 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-07-01,BPNS_Wa_210701,Sander Delacauw,0000-0002-5400-2891,ebb_tide,20.54,3.0,10.0,0.2,0.2-3,0.2,3.0,True,Niskin Bottle,WaSOP1,Since the pump and the filtration units had not yet arrived 20L of water was taken and frozen. These were filtered 8 weeks later.,2021-07-01,MSO LifeWatch Lab -80 Freezer,-80.0,Sander Delacauw,0000-0002-5400-2891,Rune Lagaisse,0000-0001-9191-9140,True,,,,,,,,
EMOBON_BPNS_Wa_210701_3um_4,EMOBON 210701 330 WaSOP1 0.2µm R4,EMOBON metagenome water sample from station BPNS collected on 2021-07-01 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-07-01,BPNS_Wa_210701,Sander Delacauw,0000-0002-5400-2891,ebb_tide,20.54,4.0,10.0,0.2,0.2-3,0.2,3.0,True,Niskin Bottle,WaSOP1,Since the pump and the filtration units had not yet arrived 20L of water was taken and frozen. These were filtered 8 weeks later.,2021-07-01,MSO LifeWatch Lab -80 Freezer,-80.0,Sander Delacauw,0000-0002-5400-2891,Rune Lagaisse,0000-0001-9191-9140,True,,,,,,,,
EMOBON_BPNS_Wa_210701_3um_blank,EMOBON 210701 330 WaSOP1 0.2µm Blank,EMOBON metagenome water sample from station BPNS collected on 2021-07-01 size fraction 0.2-3um,32644,unidentified,metagenome,MilliQ water [ENVO:00003065],2021-07-01,BPNS_Wa_210701,Sander Delacauw,0000-0002-5400-2891,,,,10.0,0.033333,0.2-3,0.2,3.0,,Niskin Bottle,WaSOP1,Since the pump and the filtration units had not yet arrived 20L of water was taken and frozen. These were filtered 8 weeks later.,2021-07-01,MSO LifeWatch Lab -80 Freezer,-80.0,Sander Delacauw,0000-0002-5400-2891,Rune Lagaisse,0000-0001-9191-9140,True,,,,,,,,
EMOBON_BPNS_Wa_210701_NAum_1,EMOBON 210701 330 WaSOP2 20µm R1,EMOBON metagenome water sample from station BPNS collected on 2021-07-01 size fraction 10-20um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],2021-07-01,BPNS_Wa_210701,Sander Delacauw,0000-0002-5400-2891,ebb_tide,20.54,1.0,0.25,0.166667,10-20,20.0,,,Apstein,WaSOP2,,2021-07-01,MSO LifeWatch Lab -80 Freezer,-80.0,Sander Delacauw,0000-0002-5400-2891,Rune Lagaisse,0000-0001-9191-9140,True,,,,,,,,
EMOBON_BPNS_Wa_210701_NAum_2,EMOBON 210701 330 WaSOP2 20µm R2,EMOBON metagenome water sample from station BPNS collected on 2021-07-01 size fraction >20um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],2021-07-01,BPNS_Wa_210701,Sander Delacauw,0000-0002-5400-2891,ebb_tide,20.54,2.0,0.25,0.166667,>20,20.0,,,Apstein,WaSOP2,,2021-07-01,MSO LifeWatch Lab -80 Freezer,-80.0,Sander Delacauw,0000-0002-5400-2891,Rune Lagaisse,0000-0001-9191-9140,True,,,,,,,,
EMOBON_BPNS_Wa_210701_NAum_3,EMOBON 210701 330 WaSOP2 20µm R3,EMOBON metagenome water sample from station BPNS collected on 2021-07-01 size fraction >20um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],2021-07-01,BPNS_Wa_210701,Sander Delacauw,0000-0002-5400-2891,ebb_tide,20.54,3.0,0.25,0.166667,>20,20.0,,,Apstein,WaSOP2,,2021-07-01,MSO LifeWatch Lab -80 Freezer,-80.0,Sander Delacauw,0000-0002-5400-2891,Rune Lagaisse,0000-0001-9191-9140,True,,,,,,,,
