source_mat_id,source_mat_id_orig,samp_description,tax_id,scientific_name,investigation_type,env_material,collection_date,sampling_event,sampl_person,sampl_person_orcid,tidal_stage,depth,replicate,samp_size_vol,time_fi,size_frac,size_frac_low,size_frac_up,membr_cut,samp_collect_device,samp_mat_process,samp_mat_process_dev,samp_store_date,samp_store_loc,samp_store_temp,store_person,store_person_orcid,other_person,other_person_orcid,long_store,ship_date,arr_date_hq,store_temp_hq,ship_date_seq,arr_date_seq,failure,failure_comment,ENA_accession_number_sample
EMOBON_LMO_Wa_221206_200um_1,EMO BON LMO 361 Wa 221206 3um (1),EMOBON metagenome water sample from station LMO collected on 2022-12-06 size fraction 3-200um,1874687.0,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; surface water [ENVO:00002042],2022-12-06,LMO_Wa_221206,Yelena Churakova; Thomas Mollica,,no_tide,2.0,1.0,10.0,3.0,3-200,3.0,200.0,True,Ruttner,WaSOP 1,peristaltic pump,2022-12-06,"EEMiS lab 4041a, J.Pinhassi freezer",-80,Camilla Karlsson,,Mellat Solomon; Sabina Arnautovic,,False,2023-06-12,2023-06-19,-70.0,,,,,
EMOBON_LMO_Wa_221206_200um_2,EMO BON LMO 361 Wa 221206 3um (2),EMOBON metagenome water sample from station LMO collected on 2022-12-06 size fraction 3-200um,1874687.0,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; surface water [ENVO:00002042],2022-12-06,LMO_Wa_221206,Yelena Churakova; Thomas Mollica,,no_tide,2.0,2.0,10.0,3.0,3-200,3.0,200.0,True,Ruttner,WaSOP 1,peristaltic pump,2022-12-06,"EEMiS lab 4041a, J.Pinhassi freezer",-80,Camilla Karlsson,,Mellat Solomon; Sabina Arnautovic,,False,2023-06-12,2023-06-19,-70.0,,,,,
EMOBON_LMO_Wa_221206_200um_3,EMO BON LMO 361 Wa 221206 3um (3),EMOBON metagenome water sample from station LMO collected on 2022-12-06 size fraction 3-200um,1874687.0,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; surface water [ENVO:00002042],2022-12-06,LMO_Wa_221206,Yelena Churakova; Thomas Mollica,,no_tide,2.0,3.0,10.0,3.0,3-200,3.0,200.0,True,Ruttner,WaSOP 1,peristaltic pump,2022-12-06,"EEMiS lab 4041a, J.Pinhassi freezer",-80,Camilla Karlsson,,Mellat Solomon; Sabina Arnautovic,,True,,,,,,,,
EMOBON_LMO_Wa_221206_200um_4,EMO BON LMO 361 Wa 221206 3um (4),EMOBON metagenome water sample from station LMO collected on 2022-12-06 size fraction 3-200um,1874687.0,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; surface water [ENVO:00002042],2022-12-06,LMO_Wa_221206,Yelena Churakova; Thomas Mollica,,no_tide,2.0,4.0,10.0,3.0,3-200,3.0,200.0,True,Ruttner,WaSOP 1,peristaltic pump,2022-12-06,"EEMiS lab 4041a, J.Pinhassi freezer",-80,Camilla Karlsson,,Mellat Solomon; Sabina Arnautovic,,True,,,,,,,,
EMOBON_LMO_Wa_221206_3um_1,EMO BON LMO 361 Wa 221206 0.2um (1),EMOBON metagenome water sample from station LMO collected on 2022-12-06 size fraction 0.2-3um,1874687.0,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; surface water [ENVO:00002042],2022-12-06,LMO_Wa_221206,Yelena Churakova; Thomas Mollica,,no_tide,2.0,1.0,10.0,3.0,0.2-3,0.2,3.0,True,Ruttner,WaSOP 1,peristaltic pump,2022-12-06,"EEMiS lab 4041a, J.Pinhassi freezer",-80,Camilla Karlsson,,Mellat Solomon; Sabina Arnautovic,,False,2023-06-12,2023-06-19,-70.0,,,,,
EMOBON_LMO_Wa_221206_3um_2,EMO BON LMO 361 Wa 221206 0.2um (2),EMOBON metagenome water sample from station LMO collected on 2022-12-06 size fraction 0.2-3um,1874687.0,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; surface water [ENVO:00002042],2022-12-06,LMO_Wa_221206,Yelena Churakova; Thomas Mollica,,no_tide,2.0,2.0,10.0,3.0,0.2-3,0.2,3.0,True,Ruttner,WaSOP 1,peristaltic pump,2022-12-06,"EEMiS lab 4041a, J.Pinhassi freezer",-80,Camilla Karlsson,,Mellat Solomon; Sabina Arnautovic,,False,2023-06-12,2023-06-19,-70.0,,,,,
EMOBON_LMO_Wa_221206_3um_3,EMO BON LMO 361 Wa 221206 0.2um (3),EMOBON metagenome water sample from station LMO collected on 2022-12-06 size fraction 0.2-3um,1874687.0,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; surface water [ENVO:00002042],2022-12-06,LMO_Wa_221206,Yelena Churakova; Thomas Mollica,,no_tide,2.0,3.0,10.0,3.0,0.2-3,0.2,3.0,True,Ruttner,WaSOP 1,peristaltic pump,2022-12-06,"EEMiS lab 4041a, J.Pinhassi freezer",-80,Camilla Karlsson,,Mellat Solomon; Sabina Arnautovic,,True,,,,,,,,
EMOBON_LMO_Wa_221206_3um_4,EMO BON LMO 361 Wa 221206 0.2um (4),EMOBON metagenome water sample from station LMO collected on 2022-12-06 size fraction 0.2-3um,1874687.0,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; surface water [ENVO:00002042],2022-12-06,LMO_Wa_221206,Yelena Churakova; Thomas Mollica,,no_tide,2.0,4.0,10.0,3.0,0.2-3,0.2,3.0,True,Ruttner,WaSOP 1,peristaltic pump,2022-12-06,"EEMiS lab 4041a, J.Pinhassi freezer",-80,Camilla Karlsson,,Mellat Solomon; Sabina Arnautovic,,True,,,,,,,,
EMOBON_LMO_Wa_221206_NAum_blank,EMO BON LMO 361 Wa 221206 3um (Blank),EMOBON metagenome water sample from station LMO collected on 2022-12-06 size fraction 3um,32644.0,unidentified,metagenome,MilliQ water [ENVO:00003065],2022-12-06,LMO_Wa_221206,Yelena Churakova; Thomas Mollica,,no_tide,2.0,,10.0,3.0,3,3.0,,,,WaSOP 1,peristaltic pump,2022-12-06,"EEMiS lab 4041a, J.Pinhassi freezer",-80,Camilla Karlsson,,Mellat Solomon; Sabina Arnautovic,,True,,,,,,,,
EMOBON_LMO_Wa_221206_3um_blank,EMO BON LMO 361 Wa 221206 0.2um (Blank),EMOBON metagenome water sample from station LMO collected on 2022-12-06 size fraction 0.2-3um,32644.0,unidentified,metagenome,MilliQ water [ENVO:00003065],2022-12-06,LMO_Wa_221206,Yelena Churakova; Thomas Mollica,,no_tide,2.0,,10.0,3.0,0.2-3,0.2,3.0,,,WaSOP 1,peristaltic pump,2022-12-06,"EEMiS lab 4041a, J.Pinhassi freezer",-80,Camilla Karlsson,,Mellat Solomon; Sabina Arnautovic,,True,,,,,,,,
