source_mat_id,source_mat_id_orig,samp_description,tax_id,scientific_name,investigation_type,env_material,collection_date,sampling_event,sampl_person,sampl_person_orcid,tidal_stage,depth,replicate,samp_size_vol,time_fi,size_frac,size_frac_low,size_frac_up,membr_cut,samp_collect_device,samp_mat_process,samp_mat_process_dev,samp_store_date,samp_store_loc,samp_store_temp,store_person,store_person_orcid,other_person,other_person_orcid,long_store,ship_date,arr_date_hq,store_temp_hq,ship_date_seq,arr_date_seq,failure,failure_comment,ENA_accession_number_sample
EMOBON_ROSKOGO_So_210826_micro_1,EMOBON ROSKOGO So210826 micro 1,EMOBON metagenome sediment sample from station ROSKOGO collected on 2021-08-26 community collected micro,412755,marine sediment metagenome,metagenome,sediment [ENVO:00002007],2021-08-26,ROSKOGO_So_210826,Wilfried Thomas; Daguin; Thiebaut; Comtet,,ebb_tide,17.0,1,,,,,,,core,SoSOP2,,2021-08-26,SBR YD001 freezer 17,-80.0,,,,,False,2021-10-19,2021-10-22,-70,2021-11-24,2021-11-24,False,,
EMOBON_ROSKOGO_So_210826_micro_2,EMOBON ROSKOGO So210826 micro 2,EMOBON metagenome sediment sample from station ROSKOGO collected on 2021-08-26 community collected micro,412755,marine sediment metagenome,metagenome,sediment [ENVO:00002007],2021-08-26,ROSKOGO_So_210826,Wilfried Thomas; Daguin; Thiebaut; Comtet,,ebb_tide,17.0,2,,,,,,,core,SoSOP2,,2021-08-26,SBR YD001 freezer 17,-80.0,,,,,False,2021-10-19,2021-10-22,-70,2021-11-24,2021-11-24,False,,
EMOBON_ROSKOGO_So_210826_micro_3,EMOBON ROSKOGO So210826 micro 3,EMOBON metagenome sediment sample from station ROSKOGO collected on 2021-08-26 community collected micro,412755,marine sediment metagenome,metagenome,sediment [ENVO:00002007],2021-08-26,ROSKOGO_So_210826,Wilfried Thomas; Daguin; Thiebaut; Comtet,,ebb_tide,17.0,3,,,,,,,core,SoSOP2,,2021-08-26,SBR YD001 freezer 17,-80.0,,,,,True,,,,,,,,
EMOBON_ROSKOGO_So_210826_micro_4,EMOBON ROSKOGO So210826 micro 4,EMOBON metagenome sediment sample from station ROSKOGO collected on 2021-08-26 community collected micro,412755,marine sediment metagenome,metagenome,sediment [ENVO:00002007],2021-08-26,ROSKOGO_So_210826,Wilfried Thomas; Daguin; Thiebaut; Comtet,,ebb_tide,17.0,4,,,,,,,core,SoSOP2,,2021-08-26,SBR YD001 freezer 17,-80.0,,,,,True,,,,,,,,
EMOBON_ROSKOGO_So_210826_micro_blank,EMOBON ROSKOGO So210826 micro blank,EMOBON metagenome sediment sample from station ROSKOGO collected on 2021-08-26 community collected micro,32644,unidentified,metagenome,sediment [ENVO:00002007],2021-08-26,ROSKOGO_So_210826,Daguin; Thiebaut; Comtet,,,17.0,blank,,,,,,,swab,SoSOP2,,2021-08-26,SBR YD001 freezer 17,-80.0,,,,,True,,,,,,,,
EMOBON_ROSKOGO_So_210923_macro_1,EMOBON ROSKOGO So210923 Macro 1,EMOBON mimarks-specimen sediment sample from station ROSKOGO collected on 2021-09-23 community collected macro,33208,Metazoa ,mimarks-specimen,sediment [ENVO:00002007],2021-09-23,ROSKOGO_So_210923,"Houbin, Daguin, Comtet",0000-0002-4572-3371,ebb_tide,17.0,1,,,,,,,McIntyre grab,SoSOP3,,2021-09-23,SBR YD101.2 fridge R10,4.0,Céline Houbin,0000-0002-4572-3371,,,False,2022-01-18,2022-01-21,4,2023-06-01,2023-06-01,,,
EMOBON_ROSKOGO_So_210923_macro_2,EMOBON ROSKOGO So210923 Macro 2,EMOBON mimarks-specimen sediment sample from station ROSKOGO collected on 2021-09-23 community collected macro,33208,Metazoa ,mimarks-specimen,sediment [ENVO:00002007],2021-09-23,ROSKOGO_So_210923,"Houbin, Daguin, Comtet",0000-0002-4572-3371,ebb_tide,17.0,2,,,,,,,McIntyre grab,SoSOP3,,2021-09-23,SBR YD101.2 fridge R10,4.0,Céline Houbin,0000-0002-4572-3371,,,False,2022-01-18,2022-01-21,4,2023-10-17,2023-10-17,,,
EMOBON_ROSKOGO_So_210923_macro_3,EMOBON ROSKOGO So210923 Macro 3,EMOBON mimarks-specimen sediment sample from station ROSKOGO collected on 2021-09-23 community collected macro,33208,Metazoa ,mimarks-specimen,sediment [ENVO:00002007],2021-09-23,ROSKOGO_So_210923,"Houbin, Daguin, Comtet",0000-0002-4572-3371,ebb_tide,17.0,3,,,,,,,McIntyre grab,SoSOP3,,2021-09-23,SBR YD101.2 fridge R10,4.0,Céline Houbin,0000-0002-4572-3371,,,True,,,,,,,,
EMOBON_ROSKOGO_So_210923_macro_4,EMOBON ROSKOGO So210923 Macro 4,EMOBON mimarks-specimen sediment sample from station ROSKOGO collected on 2021-09-23 community collected macro,33208,Metazoa ,mimarks-specimen,sediment [ENVO:00002007],2021-09-23,ROSKOGO_So_210923,"Houbin, Daguin, Comtet",0000-0002-4572-3371,ebb_tide,17.0,4,,,,,,,McIntyre grab,SoSOP3,,2021-09-23,SBR YD101.2 fridge R10,4.0,Céline Houbin,0000-0002-4572-3371,,,True,,,,,,,,
EMOBON_ROSKOGO_So_210923_macro_blank,EMOBON ROSKOGO So210923 Macro blank,EMOBON mimarks-specimen sediment sample from station ROSKOGO collected on 2021-09-23 community collected macro,32644,unidentified,mimarks-specimen,sediment [ENVO:00002007],2021-09-23,ROSKOGO_So_210923,"Houbin, Daguin, Comtet",0000-0002-4572-3371,ebb_tide,17.0,blank,,,,,,,swab,SoSOP3,,2021-09-23,SBR YD101.2 fridge R10,4.0,Céline Houbin,0000-0002-4572-3371,,,True,,,,,,,,
EMOBON_ROSKOGO_So_211119_meio_1,EMOBON ROSKOGO So211119 meio 1,EMOBON mimarks-specimen sediment sample from station ROSKOGO collected on 2021-11-19 community collected meio,33208,Metazoa ,mimarks-specimen,sediment [ENVO:00002007],2021-11-19,ROSKOGO_So_211119,Thomas; Camusat;Daguin; Thiebaut; Comtet,,ebb_tide,17.0,1,,,,,,,core,SoSOP2,ludox extraction to be done,2021-11-19,SBR YD101.1 C27,-20.0,Claire Daguin-Thiebaut,0000-0003-4665-6411,,,False,2023-09-19,2023-09-21,-70,,,,,
EMOBON_ROSKOGO_So_211119_meio_2,EMOBON ROSKOGO So211119 meio 2,EMOBON mimarks-specimen sediment sample from station ROSKOGO collected on 2021-11-19 community collected meio,33208,Metazoa ,mimarks-specimen,sediment [ENVO:00002007],2021-11-19,ROSKOGO_So_211119,Thomas; Camusat;Daguin; Thiebaut; Comtet,,ebb_tide,17.0,2,,,,,,,core,SoSOP2,ludox extraction to be done,2021-11-19,SBR YD101.1 C27,-20.0,Claire Daguin-Thiebaut,0000-0003-4665-6411,,,False,2023-09-19,2023-09-21,-70,,,,,
EMOBON_ROSKOGO_So_211119_meio_3,EMOBON ROSKOGO So211119 meio 3,EMOBON mimarks-specimen sediment sample from station ROSKOGO collected on 2021-11-19 community collected meio,33208,Metazoa ,mimarks-specimen,sediment [ENVO:00002007],2021-11-19,ROSKOGO_So_211119,Thomas; Camusat;Daguin; Thiebaut; Comtet,,ebb_tide,17.0,3,,,,,,,core,SoSOP2,ludox extraction to be done,2021-11-19,SBR YD101.1 C27,-20.0,Claire Daguin-Thiebaut,0000-0003-4665-6411,,,True,,,,,,,,
EMOBON_ROSKOGO_So_211119_meio_4,EMOBON ROSKOGO So211119 meio 4,EMOBON mimarks-specimen sediment sample from station ROSKOGO collected on 2021-11-19 community collected meio,33208,Metazoa ,mimarks-specimen,sediment [ENVO:00002007],2021-11-19,ROSKOGO_So_211119,Thomas; Camusat;Daguin; Thiebaut; Comtet,,ebb_tide,17.0,4,,,,,,,core,SoSOP2,ludox extraction to be done,2021-11-19,SBR YD101.1 C27,-20.0,Claire Daguin-Thiebaut,0000-0003-4665-6411,,,True,,,,,,,,
EMOBON_ROSKOGO_So_211119_meio_blank,EMOBON ROSKOGO So211119 meio blank,EMOBON mimarks-specimen sediment sample from station ROSKOGO collected on 2021-11-19 community collected meio,32644,unidentified,mimarks-specimen,swab,2021-11-19,ROSKOGO_So_211119,Daguin; Thiebaut; Comtet,,ebb_tide,17.0,blank,,,,,,,core,SoSOP2,,2021-11-19,SBR YD101.1 C27,-20.0,Claire Daguin-Thiebaut,0000-0003-4665-6411,,,True,,,,,,,,
EMOBON_ROSKOGO_So_211119_micro_1,EMOBON ROSKOGO So211119 micro 1,EMOBON metagenome sediment sample from station ROSKOGO collected on 2021-11-19 community collected micro,412755,marine sediment metagenome,metagenome,sediment [ENVO:00002007],2021-11-19,ROSKOGO_So_211119,Thomas; Camusat;Daguin; Thiebaut; Comtet,,ebb_tide,17.0,1,,,,,,,core,SoSOP2,,2021-11-19,SBR YD001 freezer 17,-80.0,Claire Daguin-Thiebaut,0000-0003-4665-6411,,,False,2022-01-18,2022-01-21,-70,2022-02-22,2022-02-23,False,,
EMOBON_ROSKOGO_So_211119_micro_2,EMOBON ROSKOGO So211119 micro 2,EMOBON metagenome sediment sample from station ROSKOGO collected on 2021-11-19 community collected micro,412755,marine sediment metagenome,metagenome,sediment [ENVO:00002007],2021-11-19,ROSKOGO_So_211119,Thomas; Camusat;Daguin; Thiebaut; Comtet,,ebb_tide,17.0,2,,,,,,,core,SoSOP2,,2021-11-19,SBR YD001 freezer 17,-80.0,Claire Daguin-Thiebaut,0000-0003-4665-6411,,,False,2022-01-18,2022-01-21,-70,2022-02-22,2022-02-23,False,,
EMOBON_ROSKOGO_So_211119_micro_3,EMOBON ROSKOGO So211119 micro 3,EMOBON metagenome sediment sample from station ROSKOGO collected on 2021-11-19 community collected micro,412755,marine sediment metagenome,metagenome,sediment [ENVO:00002007],2021-11-19,ROSKOGO_So_211119,Thomas; Camusat;Daguin; Thiebaut; Comtet,,ebb_tide,17.0,3,,,,,,,core,SoSOP2,,2021-11-19,SBR YD001 freezer 17,-80.0,Claire Daguin-Thiebaut,0000-0003-4665-6411,,,True,,,,,,,,
