source_mat_id,chlorophyll,chlorophyll_method,sea_surf_temp,sea_surf_temp_method,sea_subsurf_temp,sea_subsurf_temp_method,sea_surf_salinity,sea_surf_salinity_method,sea_subsurf_salinity,sea_subsurf_salinity_method,alkalinity,alkalinity_method,ammonium,ammonium_method,bac_prod,bac_prod_method,biomass,biomass_method,chem_administration,conduc,conduc_method,density,density_method,diss_carb_dioxide,diss_carb_dioxide_method,diss_inorg_carb,diss_inorg_carb_method,diss_org_carb,diss_org_carb_method,diss_org_nitro,diss_org_nitro_method,down_par,down_par_method,diss_oxygen,diss_oxygen_method,n_alkanes,n_alkanes_method,nitrate,nitrate_method,nitrite,nitrite_method,organism_count,organism_count_method,ph,ph_method,part_org_carb,part_org_carb_method,part_org_nitro,part_org_nitro_method,petroleum_hydrocarb,petroleum_hydrocarb_method,phaeopigments,phaeopigments_method,phosphate,phosphate_method,pigments,pigments_method,pressure,pressure_method,primary_prod,primary_prod_method,silicate,silicate_method,sulfate,sulfate_method,sulfide,sulfide_method,turbidity,turbidity_method,water_current,water_current_method
EMOBON_AAOT_Wa_1,1.13,filtration on 0.2 um FG filters. extraction in acetone overnight. fluorimetric measurement,25.48,Seabird SBE 911plus CTD system,14.6,Seabird SBE 911plus CTD system,31.97,Seabird SBE 911plus CTD system,37.49,Seabird SBE 911plus CTD system,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,1.08,,0.18,,,,,,,,,,,,,,0.09,,,,,,,,4.73,,,,,,1.48,,,
EMOBON_AAOT_Wa_2,1.13,filtration on 0.2 um FG filters. extraction in acetone overnight. fluorimetric measurement,25.48,Seabird SBE 911plus CTD system,14.6,Seabird SBE 911plus CTD system,31.97,Seabird SBE 911plus CTD system,37.49,Seabird SBE 911plus CTD system,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,1.08,,0.18,,,,,,,,,,,,,,0.09,,,,,,,,4.73,,,,,,1.48,,,
EMOBON_AAOT_Wa_3,1.13,filtration on 0.2 um FG filters. extraction in acetone overnight. fluorimetric measurement,25.48,Seabird SBE 911plus CTD system,14.6,Seabird SBE 911plus CTD system,31.97,Seabird SBE 911plus CTD system,37.49,Seabird SBE 911plus CTD system,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,1.08,,0.18,,,,,,,,,,,,,,0.09,,,,,,,,4.73,,,,,,1.48,,,
EMOBON_AAOT_Wa_4,1.13,filtration on 0.2 um FG filters. extraction in acetone overnight. fluorimetric measurement,25.48,Seabird SBE 911plus CTD system,14.6,Seabird SBE 911plus CTD system,31.97,Seabird SBE 911plus CTD system,37.49,Seabird SBE 911plus CTD system,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,1.08,,0.18,,,,,,,,,,,,,,0.09,,,,,,,,4.73,,,,,,1.48,,,
EMOBON_AAOT_Wa_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_AAOT_Wa_6,1.13,filtration on 0.2 um FG filters. extraction in acetone overnight. fluorimetric measurement,25.48,Seabird SBE 911plus CTD system,14.6,Seabird SBE 911plus CTD system,31.97,Seabird SBE 911plus CTD system,37.49,Seabird SBE 911plus CTD system,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,1.08,,0.18,,,,,,,,,,,,,,0.09,,,,,,,,4.73,,,,,,1.48,,,
EMOBON_AAOT_Wa_7,1.13,filtration on 0.2 um FG filters. extraction in acetone overnight. fluorimetric measurement,25.48,Seabird SBE 911plus CTD system,14.6,Seabird SBE 911plus CTD system,31.97,Seabird SBE 911plus CTD system,37.49,Seabird SBE 911plus CTD system,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,1.08,,0.18,,,,,,,,,,,,,,0.09,,,,,,,,4.73,,,,,,1.48,,,
EMOBON_AAOT_Wa_8,1.13,filtration on 0.2 um FG filters. extraction in acetone overnight. fluorimetric measurement,25.48,Seabird SBE 911plus CTD system,14.6,Seabird SBE 911plus CTD system,31.97,Seabird SBE 911plus CTD system,37.49,Seabird SBE 911plus CTD system,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,1.08,,0.18,,,,,,,,,,,,,,0.09,,,,,,,,4.73,,,,,,1.48,,,
EMOBON_AAOT_Wa_9,1.13,filtration on 0.2 um FG filters. extraction in acetone overnight. fluorimetric measurement,25.48,Seabird SBE 911plus CTD system,14.6,Seabird SBE 911plus CTD system,31.97,Seabird SBE 911plus CTD system,37.49,Seabird SBE 911plus CTD system,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,1.08,,0.18,,,,,,,,,,,,,,0.09,,,,,,,,4.73,,,,,,1.48,,,
EMOBON_AAOT_Wa_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_AAOT_Wa_11,1.13,filtration on 0.2 um FG filters. extraction in acetone overnight. fluorimetric measurement,25.48,Seabird SBE 911plus CTD system,14.6,Seabird SBE 911plus CTD system,31.97,Seabird SBE 911plus CTD system,37.49,Seabird SBE 911plus CTD system,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,1.08,,0.18,,,,,,,,,,,,,,0.09,,,,,,,,4.73,,,,,,1.48,,,
EMOBON_AAOT_Wa_12,1.13,filtration on 0.2 um FG filters. extraction in acetone overnight. fluorimetric measurement,25.48,Seabird SBE 911plus CTD system,14.6,Seabird SBE 911plus CTD system,31.97,Seabird SBE 911plus CTD system,37.49,Seabird SBE 911plus CTD system,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,1.08,,0.18,,,,,,,,,,,,,,0.09,,,,,,,,4.73,,,,,,1.48,,,
EMOBON_AAOT_Wa_13,1.13,filtration on 0.2 um FG filters. extraction in acetone overnight. fluorimetric measurement,25.48,Seabird SBE 911plus CTD system,14.6,Seabird SBE 911plus CTD system,31.97,Seabird SBE 911plus CTD system,37.49,Seabird SBE 911plus CTD system,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,1.08,,0.18,,,,,,,,,,,,,,0.09,,,,,,,,4.73,,,,,,1.48,,,
EMOBON_AAOT_Wa_14,1.13,filtration on 0.2 um FG filters. extraction in acetone overnight. fluorimetric measurement,25.48,Seabird SBE 911plus CTD system,14.6,Seabird SBE 911plus CTD system,31.97,Seabird SBE 911plus CTD system,37.49,Seabird SBE 911plus CTD system,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,1.08,,0.18,,,,,,,,,,,,,,0.09,,,,,,,,4.73,,,,,,1.48,,,
EMOBON_AAOT_Wa_15,,filtration on 0.2 um FG filters. extraction in acetone overnight. fluorimetric measurement,25.48,Seabird SBE 911plus CTD system,14.6,Seabird SBE 911plus CTD system,31.97,Seabird SBE 911plus CTD system,37.49,Seabird SBE 911plus CTD system,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,1.08,,0.18,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,
EMOBON_AAOT_Wa_16,1.13,filtration on 0.2 um FG filters. extraction in acetone overnight. fluorimetric measurement,25.48,Seabird SBE 911plus CTD system,14.6,Seabird SBE 911plus CTD system,31.97,Seabird SBE 911plus CTD system,37.49,Seabird SBE 911plus CTD system,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,1.08,,0.18,,,,,,,,,,,,,,0.09,,,,,,,,4.73,,,,,,1.48,,,
EMOBON_AAOT_Wa_17,1.13,filtration on 0.2 um FG filters. extraction in acetone overnight. fluorimetric measurement,25.48,Seabird SBE 911plus CTD system,14.6,Seabird SBE 911plus CTD system,31.97,Seabird SBE 911plus CTD system,37.49,Seabird SBE 911plus CTD system,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,1.08,,0.18,,,,,,,,,,,,,,0.09,,,,,,,,4.73,,,,,,1.48,,,
EMOBON_AAOT_Wa_18,1.13,filtration on 0.2 um FG filters. extraction in acetone overnight. fluorimetric measurement,25.48,Seabird SBE 911plus CTD system,14.6,Seabird SBE 911plus CTD system,31.97,Seabird SBE 911plus CTD system,37.49,Seabird SBE 911plus CTD system,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,1.08,,0.18,,,,,,,,,,,,,,0.09,,,,,,,,4.73,,,,,,1.48,,,
EMOBON_AAOT_Wa_19,1.13,filtration on 0.2 um FG filters. extraction in acetone overnight. fluorimetric measurement,25.48,Seabird SBE 911plus CTD system,14.6,Seabird SBE 911plus CTD system,31.97,Seabird SBE 911plus CTD system,37.49,Seabird SBE 911plus CTD system,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,1.08,,0.18,,,,,,,,,,,,,,0.09,,,,,,,,4.73,,,,,,1.48,,,
EMOBON_AAOT_Wa_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_AAOT_Wa_21,0.08,filtration on 0.2 um FG filters. extraction in acetone overnight. fluorimetric measurement,26.16,Seabird SBE 911plus CTD system,19.02,Seabird SBE 911plus CTD system,35.57,Seabird SBE 911plus CTD system,37.73,Seabird SBE 911plus CTD system,,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,0.01,,,,,,,,,,,,,,0.08,,,,,,,,0.08,,,,,,1.25,,,
EMOBON_AAOT_Wa_22,0.08,filtration on 0.2 um FG filters. extraction in acetone overnight. fluorimetric measurement,26.16,Seabird SBE 911plus CTD system,19.02,Seabird SBE 911plus CTD system,35.57,Seabird SBE 911plus CTD system,37.73,Seabird SBE 911plus CTD system,,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,0.01,,,,,,,,,,,,,,0.08,,,,,,,,0.08,,,,,,1.25,,,
EMOBON_AAOT_Wa_23,0.08,filtration on 0.2 um FG filters. extraction in acetone overnight. fluorimetric measurement,26.16,Seabird SBE 911plus CTD system,19.02,Seabird SBE 911plus CTD system,35.57,Seabird SBE 911plus CTD system,37.73,Seabird SBE 911plus CTD system,,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,0.01,,,,,,,,,,,,,,0.08,,,,,,,,0.08,,,,,,1.25,,,
EMOBON_AAOT_Wa_24,0.08,filtration on 0.2 um FG filters. extraction in acetone overnight. fluorimetric measurement,26.16,Seabird SBE 911plus CTD system,19.02,Seabird SBE 911plus CTD system,35.57,Seabird SBE 911plus CTD system,37.73,Seabird SBE 911plus CTD system,,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,0.01,,,,,,,,,,,,,,0.08,,,,,,,,0.08,,,,,,1.25,,,
EMOBON_AAOT_Wa_25,,filtration on 0.2 um FG filters. extraction in acetone overnight. fluorimetric measurement,,Seabird SBE 911plus CTD system,19.02,Seabird SBE 911plus CTD system,35.57,Seabird SBE 911plus CTD system,37.73,Seabird SBE 911plus CTD system,,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,0.01,,,,,,,,,,,,,,0.08,,,,,,,,0.08,,,,,,1.25,,,
EMOBON_AAOT_Wa_26,0.08,filtration on 0.2 um FG filters. extraction in acetone overnight. fluorimetric measurement,26.16,Seabird SBE 911plus CTD system,19.02,Seabird SBE 911plus CTD system,35.57,Seabird SBE 911plus CTD system,37.73,Seabird SBE 911plus CTD system,,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,0.01,,,,,,,,,,,,,,0.08,,,,,,,,0.08,,,,,,1.25,,,
EMOBON_AAOT_Wa_27,0.08,filtration on 0.2 um FG filters. extraction in acetone overnight. fluorimetric measurement,26.16,Seabird SBE 911plus CTD system,19.02,Seabird SBE 911plus CTD system,35.57,Seabird SBE 911plus CTD system,37.73,Seabird SBE 911plus CTD system,,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
