,index,errors
0,170,"[{'type': 'string_type', 'loc': ('replicate', 'str'), 'msg': 'Input should be a valid string', 'input': None, 'url': 'https://errors.pydantic.dev/2.9/v/string_type'}, {'type': 'int_type', 'loc': ('replicate', 'int'), 'msg': 'Input should be a valid integer', 'input': None, 'url': 'https://errors.pydantic.dev/2.9/v/int_type'}, {'type': 'string_type', 'loc': ('source_mat_id',), 'msg': 'Input should be a valid string', 'input': None, 'url': 'https://errors.pydantic.dev/2.9/v/string_type'}]"
1,171,"[{'type': 'string_type', 'loc': ('replicate', 'str'), 'msg': 'Input should be a valid string', 'input': None, 'url': 'https://errors.pydantic.dev/2.9/v/string_type'}, {'type': 'int_type', 'loc': ('replicate', 'int'), 'msg': 'Input should be a valid integer', 'input': None, 'url': 'https://errors.pydantic.dev/2.9/v/int_type'}, {'type': 'string_type', 'loc': ('source_mat_id',), 'msg': 'Input should be a valid string', 'input': None, 'url': 'https://errors.pydantic.dev/2.9/v/string_type'}]"
2,172,"[{'type': 'string_type', 'loc': ('replicate', 'str'), 'msg': 'Input should be a valid string', 'input': None, 'url': 'https://errors.pydantic.dev/2.9/v/string_type'}, {'type': 'int_type', 'loc': ('replicate', 'int'), 'msg': 'Input should be a valid integer', 'input': None, 'url': 'https://errors.pydantic.dev/2.9/v/int_type'}, {'type': 'string_type', 'loc': ('source_mat_id',), 'msg': 'Input should be a valid string', 'input': None, 'url': 'https://errors.pydantic.dev/2.9/v/string_type'}]"
3,173,"[{'type': 'string_type', 'loc': ('replicate', 'str'), 'msg': 'Input should be a valid string', 'input': None, 'url': 'https://errors.pydantic.dev/2.9/v/string_type'}, {'type': 'int_type', 'loc': ('replicate', 'int'), 'msg': 'Input should be a valid integer', 'input': None, 'url': 'https://errors.pydantic.dev/2.9/v/int_type'}, {'type': 'string_type', 'loc': ('source_mat_id',), 'msg': 'Input should be a valid string', 'input': None, 'url': 'https://errors.pydantic.dev/2.9/v/string_type'}]"
4,174,"[{'type': 'string_type', 'loc': ('replicate', 'str'), 'msg': 'Input should be a valid string', 'input': None, 'url': 'https://errors.pydantic.dev/2.9/v/string_type'}, {'type': 'int_type', 'loc': ('replicate', 'int'), 'msg': 'Input should be a valid integer', 'input': None, 'url': 'https://errors.pydantic.dev/2.9/v/int_type'}, {'type': 'string_type', 'loc': ('source_mat_id',), 'msg': 'Input should be a valid string', 'input': None, 'url': 'https://errors.pydantic.dev/2.9/v/string_type'}]"
5,175,"[{'type': 'string_type', 'loc': ('replicate', 'str'), 'msg': 'Input should be a valid string', 'input': None, 'url': 'https://errors.pydantic.dev/2.9/v/string_type'}, {'type': 'int_type', 'loc': ('replicate', 'int'), 'msg': 'Input should be a valid integer', 'input': None, 'url': 'https://errors.pydantic.dev/2.9/v/int_type'}, {'type': 'string_type', 'loc': ('source_mat_id',), 'msg': 'Input should be a valid string', 'input': None, 'url': 'https://errors.pydantic.dev/2.9/v/string_type'}]"
6,176,"[{'type': 'string_type', 'loc': ('replicate', 'str'), 'msg': 'Input should be a valid string', 'input': None, 'url': 'https://errors.pydantic.dev/2.9/v/string_type'}, {'type': 'int_type', 'loc': ('replicate', 'int'), 'msg': 'Input should be a valid integer', 'input': None, 'url': 'https://errors.pydantic.dev/2.9/v/int_type'}, {'type': 'string_type', 'loc': ('source_mat_id',), 'msg': 'Input should be a valid string', 'input': None, 'url': 'https://errors.pydantic.dev/2.9/v/string_type'}]"
7,177,"[{'type': 'string_type', 'loc': ('replicate', 'str'), 'msg': 'Input should be a valid string', 'input': None, 'url': 'https://errors.pydantic.dev/2.9/v/string_type'}, {'type': 'int_type', 'loc': ('replicate', 'int'), 'msg': 'Input should be a valid integer', 'input': None, 'url': 'https://errors.pydantic.dev/2.9/v/int_type'}, {'type': 'string_type', 'loc': ('source_mat_id',), 'msg': 'Input should be a valid string', 'input': None, 'url': 'https://errors.pydantic.dev/2.9/v/string_type'}]"
8,178,"[{'type': 'string_type', 'loc': ('replicate', 'str'), 'msg': 'Input should be a valid string', 'input': None, 'url': 'https://errors.pydantic.dev/2.9/v/string_type'}, {'type': 'int_type', 'loc': ('replicate', 'int'), 'msg': 'Input should be a valid integer', 'input': None, 'url': 'https://errors.pydantic.dev/2.9/v/int_type'}, {'type': 'string_type', 'loc': ('source_mat_id',), 'msg': 'Input should be a valid string', 'input': None, 'url': 'https://errors.pydantic.dev/2.9/v/string_type'}]"
9,179,"[{'type': 'string_type', 'loc': ('replicate', 'str'), 'msg': 'Input should be a valid string', 'input': None, 'url': 'https://errors.pydantic.dev/2.9/v/string_type'}, {'type': 'int_type', 'loc': ('replicate', 'int'), 'msg': 'Input should be a valid integer', 'input': None, 'url': 'https://errors.pydantic.dev/2.9/v/int_type'}, {'type': 'string_type', 'loc': ('source_mat_id',), 'msg': 'Input should be a valid string', 'input': None, 'url': 'https://errors.pydantic.dev/2.9/v/string_type'}]"
