,index,errors
0,144,"[{'type': 'value_error', 'loc': ('ship_date',), 'msg': 'Value error, Unrecognised value: to ship', 'input': 'to ship', 'ctx': {'error': ValueError('Unrecognised value: to ship')}, 'url': 'https://errors.pydantic.dev/2.9/v/value_error'}]"
1,145,"[{'type': 'value_error', 'loc': ('ship_date',), 'msg': 'Value error, Unrecognised value: to ship', 'input': 'to ship', 'ctx': {'error': ValueError('Unrecognised value: to ship')}, 'url': 'https://errors.pydantic.dev/2.9/v/value_error'}]"
2,148,"[{'type': 'value_error', 'loc': ('ship_date',), 'msg': 'Value error, Unrecognised value: to ship', 'input': 'to ship', 'ctx': {'error': ValueError('Unrecognised value: to ship')}, 'url': 'https://errors.pydantic.dev/2.9/v/value_error'}]"
3,149,"[{'type': 'value_error', 'loc': ('ship_date',), 'msg': 'Value error, Unrecognised value: to ship', 'input': 'to ship', 'ctx': {'error': ValueError('Unrecognised value: to ship')}, 'url': 'https://errors.pydantic.dev/2.9/v/value_error'}]"
4,156,"[{'type': 'value_error', 'loc': ('ship_date',), 'msg': 'Value error, Unrecognised value: to ship', 'input': 'to ship', 'ctx': {'error': ValueError('Unrecognised value: to ship')}, 'url': 'https://errors.pydantic.dev/2.9/v/value_error'}]"
5,157,"[{'type': 'value_error', 'loc': ('ship_date',), 'msg': 'Value error, Unrecognised value: to ship', 'input': 'to ship', 'ctx': {'error': ValueError('Unrecognised value: to ship')}, 'url': 'https://errors.pydantic.dev/2.9/v/value_error'}]"
6,160,"[{'type': 'value_error', 'loc': ('ship_date',), 'msg': 'Value error, Unrecognised value: to ship', 'input': 'to ship', 'ctx': {'error': ValueError('Unrecognised value: to ship')}, 'url': 'https://errors.pydantic.dev/2.9/v/value_error'}]"
7,161,"[{'type': 'value_error', 'loc': ('ship_date',), 'msg': 'Value error, Unrecognised value: to ship', 'input': 'to ship', 'ctx': {'error': ValueError('Unrecognised value: to ship')}, 'url': 'https://errors.pydantic.dev/2.9/v/value_error'}]"
8,168,"[{'type': 'value_error', 'loc': ('ship_date',), 'msg': 'Value error, Unrecognised value: to ship', 'input': 'to ship', 'ctx': {'error': ValueError('Unrecognised value: to ship')}, 'url': 'https://errors.pydantic.dev/2.9/v/value_error'}]"
9,169,"[{'type': 'value_error', 'loc': ('ship_date',), 'msg': 'Value error, Unrecognised value: to ship', 'input': 'to ship', 'ctx': {'error': ValueError('Unrecognised value: to ship')}, 'url': 'https://errors.pydantic.dev/2.9/v/value_error'}]"
10,172,"[{'type': 'value_error', 'loc': ('ship_date',), 'msg': 'Value error, Unrecognised value: to ship', 'input': 'to ship', 'ctx': {'error': ValueError('Unrecognised value: to ship')}, 'url': 'https://errors.pydantic.dev/2.9/v/value_error'}]"
11,173,"[{'type': 'value_error', 'loc': ('ship_date',), 'msg': 'Value error, Unrecognised value: to ship', 'input': 'to ship', 'ctx': {'error': ValueError('Unrecognised value: to ship')}, 'url': 'https://errors.pydantic.dev/2.9/v/value_error'}]"
12,176,"[{'type': 'value_error', 'loc': ('ship_date',), 'msg': 'Value error, Unrecognised value: to ship', 'input': 'to ship', 'ctx': {'error': ValueError('Unrecognised value: to ship')}, 'url': 'https://errors.pydantic.dev/2.9/v/value_error'}]"
13,178,"[{'type': 'value_error', 'loc': ('ship_date',), 'msg': 'Value error, Unrecognised value: to ship', 'input': 'to ship', 'ctx': {'error': ValueError('Unrecognised value: to ship')}, 'url': 'https://errors.pydantic.dev/2.9/v/value_error'}]"
14,180,"[{'type': 'value_error', 'loc': ('ship_date',), 'msg': 'Value error, Unrecognised value: to ship', 'input': 'to ship', 'ctx': {'error': ValueError('Unrecognised value: to ship')}, 'url': 'https://errors.pydantic.dev/2.9/v/value_error'}]"
15,181,"[{'type': 'value_error', 'loc': ('ship_date',), 'msg': 'Value error, Unrecognised value: to ship', 'input': 'to ship', 'ctx': {'error': ValueError('Unrecognised value: to ship')}, 'url': 'https://errors.pydantic.dev/2.9/v/value_error'}]"
16,184,"[{'type': 'value_error', 'loc': ('ship_date',), 'msg': 'Value error, Unrecognised value: to ship', 'input': 'to ship', 'ctx': {'error': ValueError('Unrecognised value: to ship')}, 'url': 'https://errors.pydantic.dev/2.9/v/value_error'}]"
17,185,"[{'type': 'value_error', 'loc': ('ship_date',), 'msg': 'Value error, Unrecognised value: to ship', 'input': 'to ship', 'ctx': {'error': ValueError('Unrecognised value: to ship')}, 'url': 'https://errors.pydantic.dev/2.9/v/value_error'}]"
18,192,"[{'type': 'value_error', 'loc': ('ship_date',), 'msg': 'Value error, Unrecognised value: to ship', 'input': 'to ship', 'ctx': {'error': ValueError('Unrecognised value: to ship')}, 'url': 'https://errors.pydantic.dev/2.9/v/value_error'}]"
19,193,"[{'type': 'value_error', 'loc': ('ship_date',), 'msg': 'Value error, Unrecognised value: to ship', 'input': 'to ship', 'ctx': {'error': ValueError('Unrecognised value: to ship')}, 'url': 'https://errors.pydantic.dev/2.9/v/value_error'}]"
20,196,"[{'type': 'value_error', 'loc': ('ship_date',), 'msg': 'Value error, Unrecognised value: to ship', 'input': 'to ship', 'ctx': {'error': ValueError('Unrecognised value: to ship')}, 'url': 'https://errors.pydantic.dev/2.9/v/value_error'}]"
21,197,"[{'type': 'value_error', 'loc': ('ship_date',), 'msg': 'Value error, Unrecognised value: to ship', 'input': 'to ship', 'ctx': {'error': ValueError('Unrecognised value: to ship')}, 'url': 'https://errors.pydantic.dev/2.9/v/value_error'}]"
22,200,"[{'type': 'value_error', 'loc': ('ship_date',), 'msg': 'Value error, Unrecognised value: to ship', 'input': 'to ship', 'ctx': {'error': ValueError('Unrecognised value: to ship')}, 'url': 'https://errors.pydantic.dev/2.9/v/value_error'}]"
23,202,"[{'type': 'value_error', 'loc': ('ship_date',), 'msg': 'Value error, Unrecognised value: to ship', 'input': 'to ship', 'ctx': {'error': ValueError('Unrecognised value: to ship')}, 'url': 'https://errors.pydantic.dev/2.9/v/value_error'}]"
24,204,"[{'type': 'value_error', 'loc': ('ship_date',), 'msg': 'Value error, Unrecognised value: to ship', 'input': 'to ship', 'ctx': {'error': ValueError('Unrecognised value: to ship')}, 'url': 'https://errors.pydantic.dev/2.9/v/value_error'}]"
25,205,"[{'type': 'value_error', 'loc': ('ship_date',), 'msg': 'Value error, Unrecognised value: to ship', 'input': 'to ship', 'ctx': {'error': ValueError('Unrecognised value: to ship')}, 'url': 'https://errors.pydantic.dev/2.9/v/value_error'}]"
