source_mat_id,source_mat_id_orig,samp_description,tax_id,scientific_name,investigation_type,env_material,collection_date,sampling_event,sampl_person,sampl_person_orcid,tidal_stage,depth,noteworthy_env_cond,replicate,samp_size_vol,time_fi,size_frac,size_frac_low,size_frac_up,membr_cut,samp_collect_device,samp_mat_process,samp_mat_process_dev,samp_store_date,samp_store_loc,samp_store_temp,store_person,store_person_orcid,other_person,other_person_orcid,long_store,ship_date,arr_date_hq,store_temp_hq,ship_date_seq,arr_date_seq,failure,failure_comment,ENA_accession_number_sample
EMOBON_MBAL4_Wa_1,EMO BON MBAL4 Wa 211103 3µm (1),EMOBON metagenome water sample from station MBAL4 collected on 2021-11-03 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-11-03,MBAL4_Wa_211103,"Frances Perry, Mitchell Brenen, Sean McTierney",https://orcid.org/0000-0003-1560-1506,ebb_tide,1.0,,1,20.0,4.5,3-200,3.0,200.0,,Niskin,WaSOP 1,"4.5 mL cryotubes, 4 mL DNA/RNA shield, vacuum pump",2021-11-03,shipped,-80,Kimberley Bird,https://orcid.org/,Michael Cunliffe,https://orcid.org/0000-0002-6716-3555,,2022-01-18,2022-01-25,-70.0,2022-02-22,2022-02-23,,,
EMOBON_MBAL4_Wa_2,EMO BON MBAL4 Wa 211103 3µm (2),EMOBON metagenome water sample from station MBAL4 collected on 2021-11-03 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-11-03,MBAL4_Wa_211103,"Frances Perry, Mitchell Brenen, Sean McTierney",https://orcid.org/0000-0003-1560-1506,ebb_tide,1.0,,2,20.0,4.5,3-200,3.0,200.0,,Niskin,WaSOP 1,"4.5 mL cryotubes, 4 mL DNA/RNA shield, vacuum pump",2021-11-03,shipped,-80,Kimberley Bird,https://orcid.org/,Michael Cunliffe,https://orcid.org/0000-0002-6716-3555,,2022-01-18,2022-01-25,-70.0,2022-02-22,2022-02-23,,,
EMOBON_MBAL4_Wa_3,EMO BON MBAL4 Wa 211103 0.2µm (1),EMOBON metagenome water sample from station MBAL4 collected on 2021-11-03 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-11-03,MBAL4_Wa_211103,"Frances Perry, Mitchell Brenen, Sean McTierney",https://orcid.org/0000-0003-1560-1506,ebb_tide,1.0,,1,20.0,4.5,0.2-3,0.2,3.0,,Niskin,WaSOP 1,"4.5 mL cryotubes, 4 mL DNA/RNA shield, vacuum pump",2021-11-03,shipped,-80,Kimberley Bird,https://orcid.org/,Michael Cunliffe,https://orcid.org/0000-0002-6716-3555,,2022-01-18,2022-01-25,-70.0,2022-02-22,2022-02-23,,,
EMOBON_MBAL4_Wa_4,EMO BON MBAL4 Wa 211103 0.2µm (2),EMOBON metagenome water sample from station MBAL4 collected on 2021-11-03 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-11-03,MBAL4_Wa_211103,"Frances Perry, Mitchell Brenen, Sean McTierney",https://orcid.org/0000-0003-1560-1506,ebb_tide,1.0,,2,20.0,4.5,0.2-3,0.2,3.0,,Niskin,WaSOP 1,"4.5 mL cryotubes, 4 mL DNA/RNA shield, vacuum pump",2021-11-03,shipped,-80,Kimberley Bird,https://orcid.org/,Michael Cunliffe,https://orcid.org/0000-0002-6716-3555,,2022-01-18,2022-01-25,-70.0,2022-02-22,2022-02-23,,,
EMOBON_MBAL4_Wa_5,EMO BON MBAL4 Wa 211103 3µm (3),EMOBON metagenome water sample from station MBAL4 collected on 2021-11-03 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-11-03,MBAL4_Wa_211103,"Frances Perry, Mitchell Brenen, Sean McTierney",https://orcid.org/0000-0003-1560-1506,ebb_tide,1.0,,3,20.0,7.75,3-200,3.0,200.0,,Niskin,WaSOP 1,"4.5 mL cryotubes, vacuum pump",2021-11-03,Cell and Molec chest Tower A1,-80,Kimberley Bird,https://orcid.org/,Michael Cunliffe,https://orcid.org/0000-0002-6716-3555,,,,,,,,,
EMOBON_MBAL4_Wa_6,EMO BON MBAL4 Wa 211103 3µm (4),EMOBON metagenome water sample from station MBAL4 collected on 2021-11-03 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-11-03,MBAL4_Wa_211103,"Frances Perry, Mitchell Brenen, Sean McTierney",https://orcid.org/0000-0003-1560-1506,ebb_tide,1.0,,4,20.0,7.75,3-200,3.0,200.0,,Niskin,WaSOP 1,"4.5 mL cryotubes, vacuum pump",2021-11-03,Cell and Molec chest Tower A1,-80,Kimberley Bird,https://orcid.org/,Michael Cunliffe,https://orcid.org/0000-0002-6716-3555,,,,,,,,,
EMOBON_MBAL4_Wa_7,EMO BON MBAL4 Wa 211103 0.2µm (3),EMOBON metagenome water sample from station MBAL4 collected on 2021-11-03 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-11-03,MBAL4_Wa_211103,"Frances Perry, Mitchell Brenen, Sean McTierney",https://orcid.org/0000-0003-1560-1506,ebb_tide,1.0,,3,20.0,7.75,0.2-3,0.2,3.0,,Niskin,WaSOP 1,"4.5 mL cryotubes, vacuum pump",2021-11-03,Cell and Molec chest Tower A1,-80,Kimberley Bird,https://orcid.org/,Michael Cunliffe,https://orcid.org/0000-0002-6716-3555,,,,,,,,,
EMOBON_MBAL4_Wa_8,EMO BON MBAL4 Wa 211103 0.2µm (4),EMOBON metagenome water sample from station MBAL4 collected on 2021-11-03 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-11-03,MBAL4_Wa_211103,"Frances Perry, Mitchell Brenen, Sean McTierney",https://orcid.org/0000-0003-1560-1506,ebb_tide,1.0,,4,20.0,7.75,0.2-3,0.2,3.0,,Niskin,WaSOP 1,"4.5 mL cryotubes, vacuum pump",2021-11-03,Cell and Molec chest Tower A1,-80,Kimberley Bird,https://orcid.org/,Michael Cunliffe,https://orcid.org/0000-0002-6716-3555,,,,,,,,,
EMOBON_MBAL4_Wa_9,EMO BON MBAL4 Wa 211103 3µm (blank),EMOBON metagenome water sample from station MBAL4 collected on 2021-11-03 size fraction 3um,256318,metagenome,metagenome,MilliQ water [ENVO:00003065],2021-11-03,MBAL4_Wa_211103,,,,,,blank_1,20.0,0.0,3,3.0,,,,WaSOP 1,"4.5 mL cryotubes, 4 mL DNA/RNA shield, vacuum pump",2021-11-03,Cell and Molec chest Tower A1,-80,Kimberley Bird,https://orcid.org/,Michael Cunliffe,https://orcid.org/0000-0002-6716-3555,,,,,,,,,
EMOBON_MBAL4_Wa_10,EMO BON MBAL4 Wa 211103 0.2µm (blank),EMOBON metagenome water sample from station MBAL4 collected on 2021-11-03 size fraction 0.2-3um,256318,metagenome,metagenome,MilliQ water [ENVO:00003065],2021-11-03,MBAL4_Wa_211103,,,,,,blank_1,20.0,0.0,0.2-3,0.2,3.0,,,WaSOP 1,"4.5 mL cryotubes, 4 mL DNA/RNA shield, vacuum pump",2021-11-03,Cell and Molec chest Tower A1,-80,Kimberley Bird,https://orcid.org/,Michael Cunliffe,https://orcid.org/0000-0002-6716-3555,,,,,,,,,
