source_mat_id,chlorophyll,chlorophyll_method,sea_surf_temp,sea_surf_temp_method,sea_subsurf_temp,sea_subsurf_temp_method,sea_surf_salinity,sea_surf_salinity_method,sea_subsurf_salinity,sea_subsurf_salinity_method,alkalinity,alkalinity_method,ammonium,ammonium_method,bac_prod,bac_prod_method,biomass,biomass_method,chem_administration,conduc,conduc_method,density,density_method,diss_carb_dioxide,diss_carb_dioxide_method,diss_inorg_carb,diss_inorg_carb_method,diss_org_carb,diss_org_carb_method,diss_org_nitro,diss_org_nitro_method,down_par,down_par_method,diss_oxygen,diss_oxygen_method,n_alkanes,n_alkanes_method,nitrate,nitrate_method,nitrite,nitrite_method,organism_count,organism_count_method,ph,ph_method,part_org_carb,part_org_carb_method,part_org_nitro,part_org_nitro_method,petroleum_hydrocarb,petroleum_hydrocarb_method,phaeopigments,phaeopigments_method,phosphate,phosphate_method,pigments,pigments_method,pressure,pressure_method,primary_prod,primary_prod_method,silicate,silicate_method,sulfate,sulfate_method,sulfide,sulfide_method,turbidity,turbidity_method,water_current,water_current_method
EMOBON_NRMCB_So_210621_micro_1,,,25.0495,CTD SBE 19plusV2,,,37.5864,CTD SBE 19plusV2,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,SBE43,,,,,,,,,,,,,,,,,,,,,0.5523,this is not pigments but fluorescense. chl Turner Design Cyclops 7C),,,,,,,,,,,,,,
EMOBON_NRMCB_So_210621_micro_2,,,25.0495,CTD SBE 19plusV2,,,37.5864,CTD SBE 19plusV2,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,SBE43,,,,,,,,,,,,,,,,,,,,,0.5523,this is not pigments but fluorescense. chl Turner Design Cyclops 7C),,,,,,,,,,,,,,
EMOBON_NRMCB_So_210621_micro_3,,,25.0495,CTD SBE 19plusV2,,,37.5864,CTD SBE 19plusV2,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,SBE43,,,,,,,,,,,,,,,,,,,,,0.5523,this is not pigments but fluorescense. chl Turner Design Cyclops 7C),,,,,,,,,,,,,,
EMOBON_NRMCB_So_210621_micro_4,,,25.0495,CTD SBE 19plusV2,,,37.5864,CTD SBE 19plusV2,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,SBE43,,,,,,,,,,,,,,,,,,,,,0.5523,this is not pigments but fluorescense. chl Turner Design Cyclops 7C),,,,,,,,,,,,,,
EMOBON_NRMCB_So_210821_micro_blank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_NRMCB_So_210831_micro_1,,,26.8119,CTD SBE911plusV2,,,37.9887,CTD SBE911plusV2,,,,,,,,,,,,,,,,,,,,,,,,,,4.7075,SBE43,,,,,,,,,,,,,,,,,,,,,0.6438,this is not pigments but fluorescense. chl Turner Design Cyclops 7C),,,,,,,,,,,,,,
EMOBON_NRMCB_So_210831_micro_2,,,26.8119,CTD SBE911plusV2,,,37.9887,CTD SBE911plusV2,,,,,,,,,,,,,,,,,,,,,,,,,,4.7075,SBE43,,,,,,,,,,,,,,,,,,,,,0.6438,this is not pigments but fluorescense. chl Turner Design Cyclops 7C),,,,,,,,,,,,,,
EMOBON_NRMCB_So_210831_micro_3,,,26.8119,CTD SBE911plusV2,,,37.9887,CTD SBE911plusV2,,,,,,,,,,,,,,,,,,,,,,,,,,4.7075,SBE43,,,,,,,,,,,,,,,,,,,,,0.6438,this is not pigments but fluorescense. chl Turner Design Cyclops 7C),,,,,,,,,,,,,,
EMOBON_NRMCB_So_210831_micro_4,,,26.8119,CTD SBE911plusV2,,,37.9887,CTD SBE911plusV2,,,,,,,,,,,,,,,,,,,,,,,,,,4.7075,SBE43,,,,,,,,,,,,,,,,,,,,,0.6438,this is not pigments but fluorescense. chl Turner Design Cyclops 7C),,,,,,,,,,,,,,
EMOBON_NRMCB_So_210831_micro_blank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_NRMCB_So_211026_micro_1,,,20.7006,CTD SBE911plusV2,,,38.1868,CTD SBE911plusV2,,,,,,,,,,,,,,,,,,,,,,,,,,5.5224,SBE43,,,,,,,,,7.4,Oxyguard probe,,,,,,,,,,,0.4421,this is not pigments but fluorescense. chl Turner Design Cyclops 7C),,,,,,,,,,,,,,
EMOBON_NRMCB_So_211026_micro_2,,,20.7006,CTD SBE911plusV2,,,38.1868,CTD SBE911plusV2,,,,,,,,,,,,,,,,,,,,,,,,,,5.5224,SBE43,,,,,,,,,7.4,Oxyguard probe,,,,,,,,,,,0.4421,this is not pigments but fluorescense. chl Turner Design Cyclops 7C),,,,,,,,,,,,,,
