source_mat_id,chlorophyll,chlorophyll_method,sea_surf_temp,sea_surf_temp_method,sea_subsurf_temp,sea_subsurf_temp_method,sea_surf_salinity,sea_surf_salinity_method,sea_subsurf_salinity,sea_subsurf_salinity_method,alkalinity,alkalinity_method,ammonium,ammonium_method,bac_prod,bac_prod_method,biomass,biomass_method,chem_administration,conduc,conduc_method,density,density_method,diss_carb_dioxide,diss_carb_dioxide_method,diss_inorg_carb,diss_inorg_carb_method,diss_org_carb,diss_org_carb_method,diss_org_nitro,diss_org_nitro_method,down_par,down_par_method,diss_oxygen,diss_oxygen_method,n_alkanes,n_alkanes_method,nitrate,nitrate_method,nitrite,nitrite_method,organism_count,organism_count_method,ph,ph_method,part_org_carb,part_org_carb_method,part_org_nitro,part_org_nitro_method,petroleum_hydrocarb,petroleum_hydrocarb_method,phaeopigments,phaeopigments_method,phosphate,phosphate_method,pigments,pigments_method,pressure,pressure_method,primary_prod,primary_prod_method,silicate,silicate_method,sulfate,sulfate_method,sulfide,sulfide_method,turbidity,turbidity_method,water_current,water_current_method
EMOBON_OSD74_Wa_1,2.62,Spectrophotometry,22.724,in situ multiparametric probe,22.745,in situ multiparametric probe,5.42,in situ multiparametric probe,5.31,in situ multiparametric probe,,,4.57,Spectrophotometry,,,,,,9.6429,in situ multiparametric probe,,,,,,,,,,,,,11.21,in situ multiparametric probe,,,32.25,Spectrophotometry,1.15,Spectrophotometry,,,7.32,in situ multiparametric probe,,,,,,,1.83,Spectrophotometry,0.52,Spectrophotometry,,,,,,,45.36,Spectrophotometry,,,,,0.67,,,
EMOBON_OSD74_Wa_2,2.62,Spectrophotometry,22.724,in situ multiparametric probe,22.745,in situ multiparametric probe,5.42,in situ multiparametric probe,5.31,in situ multiparametric probe,,,4.57,Spectrophotometry,,,,,,9.6429,in situ multiparametric probe,,,,,,,,,,,,,11.21,in situ multiparametric probe,,,32.25,Spectrophotometry,1.15,Spectrophotometry,,,7.32,in situ multiparametric probe,,,,,,,1.83,Spectrophotometry,0.52,Spectrophotometry,,,,,,,45.36,Spectrophotometry,,,,,0.67,,,
EMOBON_OSD74_Wa_3,2.62,Spectrophotometry,22.724,in situ multiparametric probe,22.745,in situ multiparametric probe,5.42,in situ multiparametric probe,5.31,in situ multiparametric probe,,,4.57,Spectrophotometry,,,,,,9.6429,in situ multiparametric probe,,,,,,,,,,,,,11.21,in situ multiparametric probe,,,32.25,Spectrophotometry,1.15,Spectrophotometry,,,7.32,in situ multiparametric probe,,,,,,,1.83,Spectrophotometry,0.52,Spectrophotometry,,,,,,,45.36,Spectrophotometry,,,,,0.67,,,
EMOBON_OSD74_Wa_4,2.62,Spectrophotometry,22.724,in situ multiparametric probe,22.745,in situ multiparametric probe,5.42,in situ multiparametric probe,5.31,in situ multiparametric probe,,,4.57,Spectrophotometry,,,,,,9.6429,in situ multiparametric probe,,,,,,,,,,,,,11.21,in situ multiparametric probe,,,32.25,Spectrophotometry,1.15,Spectrophotometry,,,7.32,in situ multiparametric probe,,,,,,,1.83,Spectrophotometry,0.52,Spectrophotometry,,,,,,,45.36,Spectrophotometry,,,,,0.67,,,
EMOBON_OSD74_Wa_5,2.62,Spectrophotometry,22.724,in situ multiparametric probe,22.745,in situ multiparametric probe,5.42,in situ multiparametric probe,5.31,in situ multiparametric probe,,,4.57,Spectrophotometry,,,,,,9.6429,in situ multiparametric probe,,,,,,,,,,,,,11.21,in situ multiparametric probe,,,32.25,Spectrophotometry,1.15,Spectrophotometry,,,7.32,in situ multiparametric probe,,,,,,,1.83,Spectrophotometry,0.52,Spectrophotometry,,,,,,,45.36,Spectrophotometry,,,,,0.67,,,
EMOBON_OSD74_Wa_6,2.62,Spectrophotometry,22.724,in situ multiparametric probe,22.745,in situ multiparametric probe,5.42,in situ multiparametric probe,5.31,in situ multiparametric probe,,,4.57,Spectrophotometry,,,,,,9.6429,in situ multiparametric probe,,,,,,,,,,,,,11.21,in situ multiparametric probe,,,32.25,Spectrophotometry,1.15,Spectrophotometry,,,7.32,in situ multiparametric probe,,,,,,,1.83,Spectrophotometry,0.52,Spectrophotometry,,,,,,,45.36,Spectrophotometry,,,,,0.67,,,
EMOBON_OSD74_Wa_7,2.62,Spectrophotometry,22.724,in situ multiparametric probe,22.745,in situ multiparametric probe,5.42,in situ multiparametric probe,5.31,in situ multiparametric probe,,,4.57,Spectrophotometry,,,,,,9.6429,in situ multiparametric probe,,,,,,,,,,,,,11.21,in situ multiparametric probe,,,32.25,Spectrophotometry,1.15,Spectrophotometry,,,7.32,in situ multiparametric probe,,,,,,,1.83,Spectrophotometry,0.52,Spectrophotometry,,,,,,,45.36,Spectrophotometry,,,,,0.67,,,
EMOBON_OSD74_Wa_8,2.62,Spectrophotometry,22.724,in situ multiparametric probe,22.745,in situ multiparametric probe,5.42,in situ multiparametric probe,5.31,in situ multiparametric probe,,,4.57,Spectrophotometry,,,,,,9.6429,in situ multiparametric probe,,,,,,,,,,,,,11.21,in situ multiparametric probe,,,32.25,Spectrophotometry,1.15,Spectrophotometry,,,7.32,in situ multiparametric probe,,,,,,,1.83,Spectrophotometry,0.52,Spectrophotometry,,,,,,,45.36,Spectrophotometry,,,,,0.67,,,
EMOBON_OSD74_Wa_9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_OSD74_Wa_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMOBON_OSD74_Wa_11,1.72,Spectrophotometry,,,,,,,,,,,5.88,Spectrophotometry,,,,,,,,,,,,,,,,,,,,,,,,45.31,Spectrophotometry,1.35,Spectrophotometry,,,,,,,,,,,1.24,Spectrophotometry,1.69,Spectrophotometry,,,,,,,25.79,Spectrophotometry,,,,,,,,
EMOBON_OSD74_Wa_12,1.72,Spectrophotometry,,,,,,,,,,,5.88,Spectrophotometry,,,,,,,,,,,,,,,,,,,,,,,,45.31,Spectrophotometry,1.35,Spectrophotometry,,,,,,,,,,,1.24,Spectrophotometry,1.69,Spectrophotometry,,,,,,,25.79,Spectrophotometry,,,,,,,,
EMOBON_OSD74_Wa_13,1.72,Spectrophotometry,,,,,,,,,,,5.88,Spectrophotometry,,,,,,,,,,,,,,,,,,,,,,,,45.31,Spectrophotometry,1.35,Spectrophotometry,,,,,,,,,,,1.24,Spectrophotometry,1.69,Spectrophotometry,,,,,,,25.79,Spectrophotometry,,,,,,,,
