source_mat_id,arr_date_hq,arr_date_seq,collection_date,comm_samp,depth,env_material,failure,failure_comment,investigation_type,long_store,replicate,samp_collect_device,samp_store_date,samp_mat_process,samp_mat_process_dev,samp_size_mass,samp_store_loc,samp_store_temp,sampl_person,sampling_event,ship_date,ship_date_seq,size_frac_low,size_frac_up,source_mat_id_orig,store_person,store_temp_hq,noteworthy_env_cond,other_person,other_person_orcid,sampl_person_orcid,store_person_orcid,tidal_stage
EMOBON_BPNS_So_1,2021-12-03,2023-07-18,2021-07-01,meio,23.09,sediment [ENVO:00002007],,,mimarks-specimen,N,1,Van Veen Grab,2021-07-01,SoSOP3,,340.0,"UGent MarBiol Freezer #11, Box#65",-20.0,Lara Macheriotou,BPNS_So_210701,2021-12-01,2022-07-18,,0.32,EMOBON-210701-330-SoSOP3-Meio-R1,Lara Macheriotou,-20.0,,Annelien Rigaux,,0000-0002-5662-5689,0000-0002-5662-5689,ebb_tide
EMOBON_BPNS_So_2,2021-12-03,2023-07-18,2021-07-01,meio,23.09,sediment [ENVO:00002007],,,mimarks-specimen,N,2,Van Veen Grab,2021-07-01,SoSOP3,,470.0,"UGent MarBiol Freezer #11, Box#65",-20.0,Lara Macheriotou,BPNS_So_210701,2021-12-01,2022-07-18,,0.32,EMOBON-210701-330-SoSOP3-Meio-R2,Lara Macheriotou,-20.0,,Annelien Rigaux,,0000-0002-5662-5689,0000-0002-5662-5689,ebb_tide
EMOBON_BPNS_So_3,,,2021-07-01,meio,23.09,sediment [ENVO:00002007],,,mimarks-specimen,Y,3,Van Veen Grab,2021-07-01,SoSOP3,,405.0,"UGent MarBiol Freezer #11, Box#65",-20.0,Lara Macheriotou,BPNS_So_210701,,,,0.32,EMOBON-210701-330-SoSOP3-Meio-R3,Lara Macheriotou,,,Annelien Rigaux,,0000-0002-5662-5689,0000-0002-5662-5689,ebb_tide
EMOBON_BPNS_So_4,,,2021-07-01,meio,23.09,sediment [ENVO:00002007],,,mimarks-specimen,Y,4,Van Veen Grab,2021-07-01,SoSOP3,,300.0,"UGent MarBiol Freezer #11, Box#65",-20.0,Lara Macheriotou,BPNS_So_210701,,,,0.32,EMOBON-210701-330-SoSOP3-Meio-R4,Lara Macheriotou,,,Annelien Rigaux,,0000-0002-5662-5689,0000-0002-5662-5689,ebb_tide
EMOBON_BPNS_So_5,2021-10-08,2021-11-24,2021-07-26,micro,22.94,sediment [ENVO:00002007],F,,metagenome,N,1,Van Veen Grab,2021-07-26,SoSOP3,,,MSO LifeWatch Lab -80 Freezer,-80.0,Jonas Mortelmans,BPNS_So_210726,2021-10-05,2021-11-24,,,EMOBON-210726-330-SoSOP3-Micro-R1,Jonas Mortelmans,-70.0,,,,0000-0002-8781-7915,0000-0002-8781-7915,flood_tide
EMOBON_BPNS_So_6,2021-10-08,2021-11-24,2021-07-26,micro,22.94,sediment [ENVO:00002007],F,,metagenome,N,2,Van Veen Grab,2021-07-26,SoSOP3,,,MSO LifeWatch Lab -80 Freezer,-80.0,Jonas Mortelmans,BPNS_So_210726,2021-10-05,2021-11-24,,,EMOBON-210726-330-SoSOP3-Micro-R2,Jonas Mortelmans,-70.0,,,,0000-0002-8781-7915,0000-0002-8781-7915,flood_tide
EMOBON_BPNS_So_7,,,2021-07-26,micro,22.94,sediment [ENVO:00002007],,,metagenome,Y,3,Van Veen Grab,2021-07-26,SoSOP3,,,MSO LifeWatch Lab -80 Freezer,-80.0,Jonas Mortelmans,BPNS_So_210726,,,,,EMOBON-210726-330-SoSOP3-Micro-R3,Jonas Mortelmans,,,,,0000-0002-8781-7915,0000-0002-8781-7915,flood_tide
EMOBON_BPNS_So_8,,,2021-07-26,micro,22.94,sediment [ENVO:00002007],,,metagenome,Y,4,Van Veen Grab,2021-07-26,SoSOP3,,,MSO LifeWatch Lab -80 Freezer,-80.0,Jonas Mortelmans,BPNS_So_210726,,,,,EMOBON-210726-330-SoSOP3-Micro-R4,Jonas Mortelmans,,,,,0000-0002-8781-7915,0000-0002-8781-7915,flood_tide
EMOBON_BPNS_So_9,,,2021-07-26,micro,22.94,sediment [ENVO:00002007],,,metagenome,N,blank_1,Van Veen Grab,2021-07-26,SoSOP3,,,MSO LifeWatch Lab -80 Freezer,-80.0,Jonas Mortelmans,BPNS_So_210726,,,,,EMOBON-210726-330-SoSOP3-Micro-B1,Jonas Mortelmans,,,,,0000-0002-8781-7915,0000-0002-8781-7915,flood_tide
EMOBON_BPNS_So_10,,,2021-07-26,micro,22.94,sediment [ENVO:00002007],,,metagenome,N,blank_2,Van Veen Grab,2021-07-26,SoSOP3,,,MSO LifeWatch Lab -80 Freezer,-80.0,Jonas Mortelmans,BPNS_So_210726,,,,,EMOBON-210726-330-SoSOP3-Micro-B2,Jonas Mortelmans,,,,,0000-0002-8781-7915,0000-0002-8781-7915,flood_tide
EMOBON_BPNS_So_11,,,2021-08-25,micro,20.54,sediment [ENVO:00002007],T,tube broke,metagenome,,1,Van Veen Grab,,SoSOP3,Tube broke,,,,Sander Delacauw,BPNS_So_210825,,,,,EMOBON-210825-330-SoSOP3-Micro-R1,,,,,,0000-0002-5400-2891,,ebb_tide
EMOBON_BPNS_So_12,2021-10-08,2021-11-24,2021-08-25,micro,20.54,sediment [ENVO:00002007],T,low yields; seq library prep failed,metagenome,N,2,Van Veen Grab,2021-08-25,SoSOP3,,,MSO LifeWatch Lab -80 Freezer,-80.0,Sander Delacauw,BPNS_So_210825,2021-10-05,2021-11-24,,,EMOBON-210825-330-SoSOP3-Micro-R2,Sander Delacauw,-70.0,,Rune Lagaisse,0000-0001-9191-9140,0000-0002-5400-2891,0000-0002-5400-2891,ebb_tide
EMOBON_BPNS_So_13,2021-10-08,2021-11-24,2021-08-25,micro,20.54,sediment [ENVO:00002007],F,,metagenome,Y,3,Van Veen Grab,2021-08-25,SoSOP3,,,MSO LifeWatch Lab -80 Freezer,-80.0,Sander Delacauw,BPNS_So_210825,2021-10-05,2021-11-24,,,EMOBON-210825-330-SoSOP3-Micro-R3,Sander Delacauw,-70.0,,Rune Lagaisse,0000-0001-9191-9140,0000-0002-5400-2891,0000-0002-5400-2891,ebb_tide
EMOBON_BPNS_So_14,,,2021-08-25,micro,20.54,sediment [ENVO:00002007],,,metagenome,Y,4,Van Veen Grab,2021-08-25,SoSOP3,,,MSO LifeWatch Lab -80 Freezer,-80.0,Sander Delacauw,BPNS_So_210825,,,,,EMOBON-210825-330-SoSOP3-Micro-R4,Sander Delacauw,,,Rune Lagaisse,0000-0001-9191-9140,0000-0002-5400-2891,0000-0002-5400-2891,ebb_tide
