source_mat_id,arr_date_hq,arr_date_seq,collection_date,comm_samp,depth,env_material,failure,failure_comment,investigation_type,long_store,replicate,samp_collect_device,samp_store_date,samp_mat_process,samp_mat_process_dev,samp_size_mass,samp_store_loc,samp_store_temp,sampl_person,sampling_event,ship_date,ship_date_seq,size_frac_low,size_frac_up,source_mat_id_orig,store_person,store_temp_hq,noteworthy_env_cond,other_person,other_person_orcid,sampl_person_orcid,store_person_orcid,tidal_stage
EMOBON_EMT21_So_1,2022-01-11,2023-10-17,2021-10-20,macro,2,sediment [ENVO:00002007],,,mimarks-specimen,N,1,Van Veen Grab sampler 0.056m2,2021-10-20,,SoSOP2,10.0,Mesocosms Isotherm chamber,4,Jose González,EMT21_So_211020,2022-01-10,2023-10-17,1.0,,EMO BON EMT21 So 211020 macro 1mm (1),Jose González,4.0,,,,0000-0003-1576-9819,0000-0003-1576-9819,low_tide
EMOBON_EMT21_So_2,2022-01-11,2023-10-17,2021-10-20,macro,2,sediment [ENVO:00002007],,,mimarks-specimen,N,2,Van Veen Grab sampler 0.056m2,2021-10-20,,SoSOP2,10.0,Mesocosms Isotherm chamber,4,Jose González,EMT21_So_211020,2022-01-10,2023-10-17,1.0,,EMO BON EMT21 So 211020 macro 1mm (2),Jose González,4.0,,,,0000-0003-1576-9819,0000-0003-1576-9819,low_tide
EMOBON_EMT21_So_3,,,2021-10-20,macro,2,sediment [ENVO:00002007],,,mimarks-specimen,Y,3,Van Veen Grab sampler 0.056m2,2021-10-20,,SoSOP2,10.0,Mesocosms Isotherm chamber,4,Jose González,EMT21_So_211020,,,1.0,,EMO BON EMT21 So 211020 macro 1mm (3),Jose González,,,,,0000-0003-1576-9819,0000-0003-1576-9819,low_tide
EMOBON_EMT21_So_4,,,2021-10-20,macro,2,sediment [ENVO:00002007],,,mimarks-specimen,Y,4,Van Veen Grab sampler 0.056m2,2021-10-20,,SoSOP2,10.0,Mesocosms Isotherm chamber,4,Jose González,EMT21_So_211020,,,1.0,,EMO BON EMT21 So 211020 macro 1mm (4),Jose González,,,,,0000-0003-1576-9819,0000-0003-1576-9819,low_tide
EMOBON_EMT21_So_5,2022-01-11,2023-10-17,2021-10-20,macro,2,sediment [ENVO:00002007],,,mimarks-specimen,N,1,Van Veen Grab sampler 0.056m2,2021-10-20,,SoSOP2,10.0,Mesocosms Isotherm chamber,4,Jose González,EMT21_So_211020,2022-01-10,2023-10-17,0.5,1.0,EMO BON EMT21 So 211020 macro 500um (1),Jose González,4.0,,,,0000-0003-1576-9819,0000-0003-1576-9819,low_tide
EMOBON_EMT21_So_6,2022-01-11,2023-10-17,2021-10-20,macro,2,sediment [ENVO:00002007],,,mimarks-specimen,N,2,Van Veen Grab sampler 0.056m2,2021-10-20,,SoSOP2,10.0,Mesocosms Isotherm chamber,4,Jose González,EMT21_So_211020,2022-01-10,2023-10-17,0.5,1.0,EMO BON EMT21 So 211020 macro 500um (2),Jose González,4.0,,,,0000-0003-1576-9819,0000-0003-1576-9819,low_tide
EMOBON_EMT21_So_7,,,2021-10-20,macro,2,sediment [ENVO:00002007],,,mimarks-specimen,Y,3,Van Veen Grab sampler 0.056m2,2021-10-20,,SoSOP2,10.0,Mesocosms Isotherm chamber,4,Jose González,EMT21_So_211020,,,0.5,1.0,EMO BON EMT21 So 211020 macro 500um (3),Jose González,,,,,0000-0003-1576-9819,0000-0003-1576-9819,low_tide
EMOBON_EMT21_So_8,,,2021-10-20,macro,2,sediment [ENVO:00002007],,,mimarks-specimen,Y,4,Van Veen Grab sampler 0.056m2,2021-10-20,,SoSOP2,10.0,Mesocosms Isotherm chamber,4,Jose González,EMT21_So_211020,,,0.5,1.0,EMO BON EMT21 So 211020 macro 500um (4),Jose González,,,,,0000-0003-1576-9819,0000-0003-1576-9819,low_tide
EMOBON_EMT21_So_9,2022-10-04,2022-11-16,2022-04-20,macro,3,sediment [ENVO:00002007],,,mimarks-specimen,N,1,Van Veen Grab sampler 0.056m2,2022-04-20,,SoSOP2,,Mesocosms Isotherm chamber,4,Jose González,EMT21_So_220420,2022-10-03,2022-11-15,1.0,,EMO BON EMT21 So 220420 macro 1mm (1),Jose González,4.0,,,,0000-0003-1576-9819,0000-0003-1576-9819,ebb_tide
EMOBON_EMT21_So_10,2022-10-04,2022-11-16,2022-04-20,macro,3,sediment [ENVO:00002007],,,mimarks-specimen,N,2,Van Veen Grab sampler 0.056m2,2022-04-20,,SoSOP2,,Mesocosms Isotherm chamber,4,Jose González,EMT21_So_220420,2022-10-03,2022-11-15,1.0,,EMO BON EMT21 So 220420 macro 1mm (2),Jose González,4.0,,,,0000-0003-1576-9819,0000-0003-1576-9819,ebb_tide
