source_mat_id,arr_date_hq,arr_date_seq,collection_date,depth,env_material,failure,failure_comment,investigation_type,long_store,membr_cut,replicate,samp_collect_device,samp_description,samp_mat_process,samp_mat_process_dev,samp_size_vol,samp_store_date,samp_store_loc,samp_store_temp,sampl_person,sampling_event,ship_date,ship_date_seq,size_frac,size_frac_low,size_frac_up,source_mat_id_orig,store_person,store_temp_hq,tax_id,time_fi,noteworthy_env_cond,other_person,other_person_orcid,sampl_person_orcid,store_person_orcid,tidal_stage
EMOBON_HCMR-1_Wa_1,2021-10-25,2021-11-24,2021-06-28,1,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],F,,metagenome,N,Y,1,Jerrycan,EMOBON metagenome water sample from station HCMR-1 collected on 2021-06-28 size fraction 3-200um,WaSOP 1,,30,2021-06-28,"Basement, New chest freezer -80C, Left side, Carton box",-80,Maria Maidanou,HCMR-1_Wa_210628,2021-10-15,2021-11-24,3-200,3.0,200,EMO BON HCMR-1 Wa 210628 3um_1,Melanthia Stavroulaki,-70.0,1874687,1.5,,,,,0000-0003-4392-7159,no_tide
EMOBON_HCMR-1_Wa_2,2021-10-25,2021-11-24,2021-06-28,1,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],T,low yields; seq library prep failed,metagenome,N,Y,2,Jerrycan,EMOBON metagenome water sample from station HCMR-1 collected on 2021-06-28 size fraction 3-200um,WaSOP 1,,30,2021-06-28,"Basement, New chest freezer -80C, Left side, Carton box",-80,Maria Maidanou,HCMR-1_Wa_210628,2021-10-15,2021-11-24,3-200,3.0,200,EMO BON HCMR-1 Wa 210628 3um_2,Melanthia Stavroulaki,-70.0,1874687,1.5,,,,,0000-0003-4392-7159,no_tide
EMOBON_HCMR-1_Wa_3,,,2021-06-28,1,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],,,metagenome,Y,Y,3,Jerrycan,EMOBON metagenome water sample from station HCMR-1 collected on 2021-06-28 size fraction 3-200um,WaSOP 1,,30,2021-06-28,"Basement, New chest freezer -80C, Left side, Carton box",-80,Maria Maidanou,HCMR-1_Wa_210628,,,3-200,3.0,200,EMO BON HCMR-1 Wa 210628 3um_3,Melanthia Stavroulaki,,1874687,2.5,,,,,0000-0003-4392-7159,no_tide
EMOBON_HCMR-1_Wa_4,,,2021-06-28,1,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],,,metagenome,Y,Y,4,Jerrycan,EMOBON metagenome water sample from station HCMR-1 collected on 2021-06-28 size fraction 3-200um,WaSOP 1,,30,2021-06-28,"Basement, New chest freezer -80C, Left side, Carton box",-80,Maria Maidanou,HCMR-1_Wa_210628,,,3-200,3.0,200,EMO BON HCMR-1 Wa 210628 3um_4,Melanthia Stavroulaki,,1874687,2.5,,,,,0000-0003-4392-7159,no_tide
EMOBON_HCMR-1_Wa_5,2021-10-25,2021-11-24,2021-06-28,1,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],F,,metagenome,N,Y,1,Jerrycan,EMOBON metagenome water sample from station HCMR-1 collected on 2021-06-28 size fraction 0.2-3um,WaSOP 1,,30,2021-06-28,"Basement, New chest freezer -80C, Left side, Carton box",-80,Maria Maidanou,HCMR-1_Wa_210628,2021-10-15,2021-11-24,0.2-3,0.2,3,EMO BON HCMR-1 Wa 210628 0.22um_1,Melanthia Stavroulaki,-70.0,1874687,1.5,,,,,0000-0003-4392-7159,no_tide
EMOBON_HCMR-1_Wa_6,2021-10-25,2021-11-24,2021-06-28,1,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],F,,metagenome,N,Y,2,Jerrycan,EMOBON metagenome water sample from station HCMR-1 collected on 2021-06-28 size fraction 0.2-3um,WaSOP 1,,30,2021-06-28,"Basement, New chest freezer -80C, Left side, Carton box",-80,Maria Maidanou,HCMR-1_Wa_210628,2021-10-15,2021-11-24,0.2-3,0.2,3,EMO BON HCMR-1 Wa 210628 0.22um_2,Melanthia Stavroulaki,-70.0,1874687,1.5,,,,,0000-0003-4392-7159,no_tide
EMOBON_HCMR-1_Wa_7,,,2021-06-28,1,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],,,metagenome,Y,Y,3,Jerrycan,EMOBON metagenome water sample from station HCMR-1 collected on 2021-06-28 size fraction 0.2-3um,WaSOP 1,,30,2021-06-28,"Basement, New chest freezer -80C, Left side, Carton box",-80,Maria Maidanou,HCMR-1_Wa_210628,,,0.2-3,0.2,3,EMO BON HCMR-1 Wa 210628 0.22um_3,Melanthia Stavroulaki,,1874687,2.5,,,,,0000-0003-4392-7159,no_tide
EMOBON_HCMR-1_Wa_8,,,2021-06-28,1,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],,,metagenome,Y,Y,4,Jerrycan,EMOBON metagenome water sample from station HCMR-1 collected on 2021-06-28 size fraction 0.2-3um,WaSOP 1,,30,2021-06-28,"Basement, New chest freezer -80C, Left side, Carton box",-80,Maria Maidanou,HCMR-1_Wa_210628,,,0.2-3,0.2,3,EMO BON HCMR-1 Wa 210628 0.22um_4,Melanthia Stavroulaki,,1874687,2.5,,,,,0000-0003-4392-7159,no_tide
EMOBON_HCMR-1_Wa_9,,,2021-06-28,1,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],,,metagenome,Y,Y,blank_1,Jerrycan,EMOBON metagenome water sample from station HCMR-1 collected on 2021-06-28 size fraction 3-200um,WaSOP 1,,30,2021-06-28,"Basement, New chest freezer -80C, Left side, Carton box",-80,Maria Maidanou,HCMR-1_Wa_210628,,,3-200,3.0,200,EMO BON HCMR-1 Wa 210628 3um_Blank,Melanthia Stavroulaki,,256318,3.5,,,,,0000-0003-4392-7159,no_tide
EMOBON_HCMR-1_Wa_10,,,2021-06-28,1,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],,,metagenome,Y,Y,blank_2,Jerrycan,EMOBON metagenome water sample from station HCMR-1 collected on 2021-06-28 size fraction 3-200um,WaSOP 1,,30,2021-06-28,"Basement, New chest freezer -80C, Left side, Carton box",-80,Maria Maidanou,HCMR-1_Wa_210628,,,3-200,3.0,200,EMO BON HCMR-1 Wa 210628 3um_Blank,Melanthia Stavroulaki,,256318,3.5,,,,,0000-0003-4392-7159,no_tide
EMOBON_HCMR-1_Wa_11,,,2021-06-28,1,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],,,metagenome,Y,Y,blank_1,Jerrycan,EMOBON metagenome water sample from station HCMR-1 collected on 2021-06-28 size fraction 0.2-3um,WaSOP 1,,30,2021-06-28,"Basement, New chest freezer -80C, Left side, Carton box",-80,Maria Maidanou,HCMR-1_Wa_210628,,,0.2-3,0.2,3,EMO BON HCMR-1 Wa 210628 0.22um_Blank,Melanthia Stavroulaki,,256318,3.5,,,,,0000-0003-4392-7159,no_tide
