source_mat_id,arr_date_hq,arr_date_seq,collection_date,depth,env_material,failure,failure_comment,investigation_type,long_store,membr_cut,replicate,samp_collect_device,samp_description,samp_mat_process,samp_mat_process_dev,samp_size_vol,samp_store_date,samp_store_loc,samp_store_temp,sampl_person,sampling_event,ship_date,ship_date_seq,size_frac,size_frac_low,size_frac_up,source_mat_id_orig,store_person,store_temp_hq,tax_id,time_fi,noteworthy_env_cond,other_person,other_person_orcid,sampl_person_orcid,store_person_orcid,tidal_stage
EMOBON_IUIEilat_Wa_1,2021-10-20,2021-11-24,2021-08-29,2,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,N,Y,1,Hand pump,EMOBON metagenome water sample from station IUIEilat collected on 2021-08-29 size fraction 0.2-3um,WaSOP 1,,10,2021-08-29,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,IUIEilat1_Wa_210829,2021-10-14,2021-11-24,0.2-3,0.2,3,EMO BON IUI EILAT WA 210829 0.2um 1,Gil Koplovitz,-70.0,1874687,1,,,,0000-0002-8436-9424,0000-0002-8436-9424,no_tide
EMOBON_IUIEilat_Wa_2,2021-10-20,2021-11-24,2021-08-29,2,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,N,Y,2,Hand pump,EMOBON metagenome water sample from station IUIEilat collected on 2021-08-29 size fraction 0.2-3um,WaSOP 1,,10,2021-08-29,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,IUIEilat1_Wa_210829,2021-10-14,2021-11-24,0.2-3,0.2,3,EMO BON IUI EILAT WA 210829 0.2um 2,Gil Koplovitz,-70.0,1874687,1,,,,0000-0002-8436-9424,0000-0002-8436-9424,no_tide
EMOBON_IUIEilat_Wa_3,,,2021-08-29,2,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,Y,3,Hand pump,EMOBON metagenome water sample from station IUIEilat collected on 2021-08-29 size fraction 0.2-3um,WaSOP 1,,10,2021-08-29,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,IUIEilat1_Wa_210829,,,0.2-3,0.2,3,EMO BON IUI EILAT WA 210829 0.2um 3,Gil Koplovitz,,1874687,1,,,,0000-0002-8436-9424,0000-0002-8436-9424,no_tide
EMOBON_IUIEilat_Wa_4,,,2021-08-29,2,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,Y,4,Hand pump,EMOBON metagenome water sample from station IUIEilat collected on 2021-08-29 size fraction 0.2-3um,WaSOP 1,,10,2021-08-29,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,IUIEilat1_Wa_210829,,,0.2-3,0.2,3,EMO BON IUI EILAT WA 210829 0.2um 4,Gil Koplovitz,,1874687,1,,,,0000-0002-8436-9424,0000-0002-8436-9424,no_tide
EMOBON_IUIEilat_Wa_5,2021-10-20,2021-11-24,2021-08-29,2,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,N,Y,1,Hand pump,EMOBON metagenome water sample from station IUIEilat collected on 2021-08-29 size fraction 3-200um,WaSOP 1,,10,2021-08-29,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,IUIEilat1_Wa_210829,2021-10-14,2021-11-24,3-200,3.0,200,EMO BON IUI EILAT WA 210829 3.0um 1,Gil Koplovitz,-70.0,1874687,1,,,,0000-0002-8436-9424,0000-0002-8436-9424,no_tide
EMOBON_IUIEilat_Wa_6,2021-10-20,2021-11-24,2021-08-29,2,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,N,Y,2,Hand pump,EMOBON metagenome water sample from station IUIEilat collected on 2021-08-29 size fraction 3-200um,WaSOP 1,,10,2021-08-29,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,IUIEilat1_Wa_210829,2021-10-14,2021-11-24,3-200,3.0,200,EMO BON IUI EILAT WA 210829 3.0um 2,Gil Koplovitz,-70.0,1874687,1,,,,0000-0002-8436-9424,0000-0002-8436-9424,no_tide
EMOBON_IUIEilat_Wa_7,,,2021-08-29,2,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,Y,3,Hand pump,EMOBON metagenome water sample from station IUIEilat collected on 2021-08-29 size fraction 3-200um,WaSOP 1,,10,2021-08-29,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,IUIEilat1_Wa_210829,,,3-200,3.0,200,EMO BON IUI EILAT WA 210829 3.0um 3,Gil Koplovitz,,1874687,1,,,,0000-0002-8436-9424,0000-0002-8436-9424,no_tide
EMOBON_IUIEilat_Wa_8,,,2021-08-29,2,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,Y,4,Hand pump,EMOBON metagenome water sample from station IUIEilat collected on 2021-08-29 size fraction 3-200um,WaSOP 1,,10,2021-08-29,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,IUIEilat1_Wa_210829,,,3-200,3.0,200,EMO BON IUI EILAT WA 210829 3.0um 4,Gil Koplovitz,,1874687,1,,,,0000-0002-8436-9424,0000-0002-8436-9424,no_tide
EMOBON_IUIEilat_Wa_9,,,2021-08-29,2,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,N,blank_1,Hand pump,EMOBON metagenome water sample from station IUIEilat collected on 2021-08-29 size fraction 0.2-3um,WaSOP 1,,10,2021-08-29,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,IUIEilat1_Wa_210829,,,0.2-3,0.2,3,EMO BON IUI EILAT WA 210829 0.2um blank,Gil Koplovitz,,256318,1,,,,0000-0002-8436-9424,0000-0002-8436-9424,no_tide
EMOBON_IUIEilat_Wa_10,,,2021-08-29,2,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,N,blank_1,Hand pump,EMOBON metagenome water sample from station IUIEilat collected on 2021-08-29 size fraction 3-200um,WaSOP 1,,10,2021-08-29,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,IUIEilat1_Wa_210829,,,3-200,3.0,200,EMO BON IUI EILAT WA 210829 3.0um blank,Gil Koplovitz,,256318,1,,,,0000-0002-8436-9424,0000-0002-8436-9424,no_tide
