source_mat_id,arr_date_hq,arr_date_seq,collection_date,depth,env_material,failure,failure_comment,investigation_type,long_store,membr_cut,replicate,samp_collect_device,samp_description,samp_mat_process,samp_mat_process_dev,samp_size_vol,samp_store_date,samp_store_loc,samp_store_temp,sampl_person,sampling_event,ship_date,ship_date_seq,size_frac,size_frac_low,size_frac_up,source_mat_id_orig,store_person,store_temp_hq,tax_id,time_fi,noteworthy_env_cond,other_person,other_person_orcid,sampl_person_orcid,store_person_orcid,tidal_stage
EMOBON_LMO_Wa_1,2023-06-19,,2022-12-06,2.0,seawater [ENVO:00002149]; surface water [ENVO:00002042],,,metagenome,N,Y,1,Ruttner,EMOBON metagenome water sample from station LMO collected on 2022-12-06 size fraction 3-200um,WaSOP 1,peristaltic pump,10.0,2022-12-06,"EEMiS lab 4041a, J.Pinhassi freezer",-80,Yelena Churakova; Thomas Mollica,LMO_Wa_221206,2023-06-12,,3-200,3.0,200.0,EMO BON LMO 361 Wa 221206 3um (1),Camilla Karlsson,-70.0,1874687.0,3.0,,Mellat Solomon; Sabina Arnautovic,,,,no_tide
EMOBON_LMO_Wa_2,2023-06-19,,2022-12-06,2.0,seawater [ENVO:00002149]; surface water [ENVO:00002042],,,metagenome,N,Y,2,Ruttner,EMOBON metagenome water sample from station LMO collected on 2022-12-06 size fraction 3-200um,WaSOP 1,peristaltic pump,10.0,2022-12-06,"EEMiS lab 4041a, J.Pinhassi freezer",-80,Yelena Churakova; Thomas Mollica,LMO_Wa_221206,2023-06-12,,3-200,3.0,200.0,EMO BON LMO 361 Wa 221206 3um (2),Camilla Karlsson,-70.0,1874687.0,3.0,,Mellat Solomon; Sabina Arnautovic,,,,no_tide
EMOBON_LMO_Wa_3,,,2022-12-06,2.0,seawater [ENVO:00002149]; surface water [ENVO:00002042],,,metagenome,Y,Y,3,Ruttner,EMOBON metagenome water sample from station LMO collected on 2022-12-06 size fraction 3-200um,WaSOP 1,peristaltic pump,10.0,2022-12-06,"EEMiS lab 4041a, J.Pinhassi freezer",-80,Yelena Churakova; Thomas Mollica,LMO_Wa_221206,,,3-200,3.0,200.0,EMO BON LMO 361 Wa 221206 3um (3),Camilla Karlsson,,1874687.0,3.0,,Mellat Solomon; Sabina Arnautovic,,,,no_tide
EMOBON_LMO_Wa_4,,,2022-12-06,2.0,seawater [ENVO:00002149]; surface water [ENVO:00002042],,,metagenome,Y,Y,4,Ruttner,EMOBON metagenome water sample from station LMO collected on 2022-12-06 size fraction 3-200um,WaSOP 1,peristaltic pump,10.0,2022-12-06,"EEMiS lab 4041a, J.Pinhassi freezer",-80,Yelena Churakova; Thomas Mollica,LMO_Wa_221206,,,3-200,3.0,200.0,EMO BON LMO 361 Wa 221206 3um (4),Camilla Karlsson,,1874687.0,3.0,,Mellat Solomon; Sabina Arnautovic,,,,no_tide
EMOBON_LMO_Wa_5,2023-06-19,,2022-12-06,2.0,seawater [ENVO:00002149]; surface water [ENVO:00002042],,,metagenome,N,Y,1,Ruttner,EMOBON metagenome water sample from station LMO collected on 2022-12-06 size fraction 0.2-3um,WaSOP 1,peristaltic pump,10.0,2022-12-06,"EEMiS lab 4041a, J.Pinhassi freezer",-80,Yelena Churakova; Thomas Mollica,LMO_Wa_221206,2023-06-12,,0.2-3,0.2,3.0,EMO BON LMO 361 Wa 221206 0.2um (1),Camilla Karlsson,-70.0,1874687.0,3.0,,Mellat Solomon; Sabina Arnautovic,,,,no_tide
EMOBON_LMO_Wa_6,2023-06-19,,2022-12-06,2.0,seawater [ENVO:00002149]; surface water [ENVO:00002042],,,metagenome,N,Y,2,Ruttner,EMOBON metagenome water sample from station LMO collected on 2022-12-06 size fraction 0.2-3um,WaSOP 1,peristaltic pump,10.0,2022-12-06,"EEMiS lab 4041a, J.Pinhassi freezer",-80,Yelena Churakova; Thomas Mollica,LMO_Wa_221206,2023-06-12,,0.2-3,0.2,3.0,EMO BON LMO 361 Wa 221206 0.2um (2),Camilla Karlsson,-70.0,1874687.0,3.0,,Mellat Solomon; Sabina Arnautovic,,,,no_tide
EMOBON_LMO_Wa_7,,,2022-12-06,2.0,seawater [ENVO:00002149]; surface water [ENVO:00002042],,,metagenome,Y,Y,3,Ruttner,EMOBON metagenome water sample from station LMO collected on 2022-12-06 size fraction 0.2-3um,WaSOP 1,peristaltic pump,10.0,2022-12-06,"EEMiS lab 4041a, J.Pinhassi freezer",-80,Yelena Churakova; Thomas Mollica,LMO_Wa_221206,,,0.2-3,0.2,3.0,EMO BON LMO 361 Wa 221206 0.2um (3),Camilla Karlsson,,1874687.0,3.0,,Mellat Solomon; Sabina Arnautovic,,,,no_tide
EMOBON_LMO_Wa_8,,,2022-12-06,2.0,seawater [ENVO:00002149]; surface water [ENVO:00002042],,,metagenome,Y,Y,4,Ruttner,EMOBON metagenome water sample from station LMO collected on 2022-12-06 size fraction 0.2-3um,WaSOP 1,peristaltic pump,10.0,2022-12-06,"EEMiS lab 4041a, J.Pinhassi freezer",-80,Yelena Churakova; Thomas Mollica,LMO_Wa_221206,,,0.2-3,0.2,3.0,EMO BON LMO 361 Wa 221206 0.2um (4),Camilla Karlsson,,1874687.0,3.0,,Mellat Solomon; Sabina Arnautovic,,,,no_tide
EMOBON_LMO_Wa_9,,,2022-12-06,2.0,MilliQ water [ENVO:00003065],,,metagenome,Y,N,blank_1,,EMOBON metagenome water sample from station LMO collected on 2022-12-06 size fraction 3um,WaSOP 1,peristaltic pump,10.0,2022-12-06,"EEMiS lab 4041a, J.Pinhassi freezer",-80,Yelena Churakova; Thomas Mollica,LMO_Wa_221206,,,3,3.0,,EMO BON LMO 361 Wa 221206 3um (Blank),Camilla Karlsson,,256318.0,3.0,,Mellat Solomon; Sabina Arnautovic,,,,no_tide
EMOBON_LMO_Wa_10,,,2022-12-06,2.0,MilliQ water [ENVO:00003065],,,metagenome,Y,N,blank_1,,EMOBON metagenome water sample from station LMO collected on 2022-12-06 size fraction 0.2-3um,WaSOP 1,peristaltic pump,10.0,2022-12-06,"EEMiS lab 4041a, J.Pinhassi freezer",-80,Yelena Churakova; Thomas Mollica,LMO_Wa_221206,,,0.2-3,0.2,3.0,EMO BON LMO 361 Wa 221206 0.2um (Blank),Camilla Karlsson,,256318.0,3.0,,Mellat Solomon; Sabina Arnautovic,,,,no_tide
