source_mat_id,arr_date_hq,arr_date_seq,collection_date,comm_samp,depth,env_material,failure,failure_comment,investigation_type,long_store,replicate,samp_collect_device,samp_store_date,samp_mat_process,samp_mat_process_dev,samp_size_mass,samp_store_loc,samp_store_temp,sampl_person,sampling_event,ship_date,ship_date_seq,size_frac_low,size_frac_up,source_mat_id_orig,store_person,store_temp_hq,noteworthy_env_cond,other_person,other_person_orcid,sampl_person_orcid,store_person_orcid,tidal_stage
EMOBON_OOB_So_1,,2021-08-04,2021-06-08,micro,27,sediment [ENVO:00002007],F,,metagenome,N,1,PVC sediment corer,2021-06-08,SoSOP 2,PVC cores of 7.5 cm in diameter,10.0,"room 213, freezer LECOB",-80.0,Bruno Hesse,OOB_So_210608,2021-07-29,2021-07-29,,,EMO BON OOB So 210608 micro (1),Pierre E. Galand,,,Lyvia Lescure,,,0000-0002-2238-3247,no_tide
EMOBON_OOB_So_2,,2021-08-04,2021-06-08,micro,27,sediment [ENVO:00002007],T,tube broke during transport,metagenome,N,2,PVC sediment corer,2021-06-08,SoSOP 2,PVC cores of 7.5 cm in diameter,10.0,"room 213, freezer LECOB",-80.0,Bruno Hesse,OOB_So_210608,2021-07-29,2021-07-29,,,EMO BON OOB So 210608 micro (2),Pierre E. Galand,,,Lyvia Lescure,,,0000-0002-2238-3247,no_tide
EMOBON_OOB_So_3,,,2021-06-08,micro,27,sediment [ENVO:00002007],,,metagenome,Y,3,PVC sediment corer,2021-06-08,SoSOP 2,PVC cores of 7.5 cm in diameter,10.0,"room 213, freezer LECOB",-80.0,Bruno Hesse,OOB_So_210608,,,,,EMO BON OOB So 210608 micro (3),Pierre E. Galand,,,Lyvia Lescure,,,0000-0002-2238-3247,no_tide
EMOBON_OOB_So_4,,,2021-06-08,micro,27,sediment [ENVO:00002007],,,metagenome,Y,4,PVC sediment corer,2021-06-08,SoSOP 2,PVC cores of 7.5 cm in diameter,10.0,"room 213, freezer LECOB",-80.0,Bruno Hesse,OOB_So_210608,,,,,EMO BON OOB So 210608 micro (4),Pierre E. Galand,,,Lyvia Lescure,,,0000-0002-2238-3247,no_tide
EMOBON_OOB_So_5,2022-01-25,2022-07-18,2021-06-08,meio,27,sediment [ENVO:00002007],,,mimarks-specimen,N,1,PVC sediment corer,2021-06-08,SoSOP 2,PVC cores of 7.5 cm in diameter,,"room 301, freezer LECOB",-20.0,Bruno Hesse,OOB_So_210608,2022-01-24,2022-07-18,,,EMO BON OOB So 210608 meio (1),Jadwiga Orignac,-20.0,,Lyvia Lescure,,,0000-0002-2238-3247,no_tide
EMOBON_OOB_So_6,2022-01-25,2022-07-18,2021-06-08,meio,27,sediment [ENVO:00002007],,,mimarks-specimen,N,2,PVC sediment corer,2021-06-08,SoSOP 2,PVC cores of 7.5 cm in diameter,,"room 301, freezer LECOB",-20.0,Bruno Hesse,OOB_So_210608,2022-01-24,2022-07-18,,,EMO BON OOB So 210608 meio (2),Jadwiga Orignac,-20.0,,Lyvia Lescure,,,0000-0002-2238-3247,no_tide
EMOBON_OOB_So_7,,,2021-06-08,meio,27,sediment [ENVO:00002007],,,mimarks-specimen,Y,3,PVC sediment corer,2021-06-08,SoSOP 2,PVC cores of 7.5 cm in diameter,,"room 301, freezer LECOB",-20.0,Bruno Hesse,OOB_So_210608,,,,,EMO BON OOB So 210608 meio (3),Jadwiga Orignac,,,Lyvia Lescure,,,0000-0002-2238-3247,no_tide
EMOBON_OOB_So_8,,,2021-06-08,meio,27,sediment [ENVO:00002007],,,mimarks-specimen,Y,4,PVC sediment corer,2021-06-08,SoSOP 2,PVC cores of 7.5 cm in diameter,,"room 301, freezer LECOB",-20.0,Bruno Hesse,OOB_So_210608,,,,,EMO BON OOB So 210608 meio (4),Jadwiga Orignac,,,Lyvia Lescure,,,0000-0002-2238-3247,no_tide
EMOBON_OOB_So_9,2021-10-22,2021-11-24,2021-08-18,micro,27,sediment [ENVO:00002007],T,non-quantifiable DNA after extraction,metagenome,N,1,PVC sediment corer,2021-08-18,SoSOP 2,PVC cores of 7.5 cm in diameter,10.0,"room 213, freezer LECOB",-80.0,Bruno Hesse,OOB_So_210818,2021-10-21,2021-11-24,,,EMO BON OOB So 210818 micro (1),Pierre E. Galand,-70.0,,Lyvia Lescure,,,0000-0002-2238-3247,no_tide
EMOBON_OOB_So_10,2021-10-22,2021-11-24,2021-08-18,micro,27,sediment [ENVO:00002007],T,non-quantifiable DNA after extraction,metagenome,N,2,PVC sediment corer,2021-08-18,SoSOP 2,PVC cores of 7.5 cm in diameter,10.0,"room 213, freezer LECOB",-80.0,Bruno Hesse,OOB_So_210818,2021-10-21,2021-11-24,,,EMO BON OOB So 210818 micro (2),Pierre E. Galand,-70.0,,Lyvia Lescure,,,0000-0002-2238-3247,no_tide
