source_mat_id,arr_date_hq,arr_date_seq,collection_date,depth,env_material,failure,failure_comment,investigation_type,long_store,membr_cut,replicate,samp_collect_device,samp_description,samp_mat_process,samp_mat_process_dev,samp_size_vol,samp_store_date,samp_store_loc,samp_store_temp,sampl_person,sampling_event,ship_date,ship_date_seq,size_frac,size_frac_low,size_frac_up,source_mat_id_orig,store_person,store_temp_hq,tax_id,time_fi,noteworthy_env_cond,other_person,other_person_orcid,sampl_person_orcid,store_person_orcid,tidal_stage
EMOBON_OSD74_Wa_1,2021-10-27,2021-11-24,2021-08-31,1.0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],F,,metagenome,N,Y,1,Bucket,EMOBON metagenome water sample from station OSD74 collected on 2021-08-31 size fraction 3um,WaSOP1,We used a vacuum pump for filtration,5.4,2021-08-31,CIIMAR - EcoBioTec New -80ºC Freezer,-80,Catarina Magalhães; Simão Horta ,OSD74_Wa_210831,2021-10-26,2021-11-24,3-200,3.0,200,EMOBON_OSD74_Wa_310821_3µm_(1) ,Catarina Magalhães,-70.0,1874687,0.33,,,,0000-0001-9576-2398,0000-0001-9576-2398,high_tide
EMOBON_OSD74_Wa_2,2021-10-27,2021-11-24,2021-08-31,1.0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],F,,metagenome,N,Y,1,Bucket,EMOBON metagenome water sample from station OSD74 collected on 2021-08-31 size fraction 0.2um,WaSOP1,We used a vacuum pump for filtration,5.4,2021-08-31,CIIMAR - EcoBioTec New -80ºC Freezer,-80,Catarina Magalhães; Simão Horta ,OSD74_Wa_210831,2021-10-26,2021-11-24,0.2-3,0.2,3,EMOBON_OSD74_Wa_310821_0.2µm_(1),Catarina Magalhães,-70.0,1874687,0.33,,,,0000-0001-9576-2398,0000-0001-9576-2398,high_tide
EMOBON_OSD74_Wa_3,,,2021-08-31,1.0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,N,Y,2,Bucket,EMOBON metagenome water sample from station OSD74 collected on 2021-08-31 size fraction 3um,WaSOP1,We used a vacuum pump for filtration,5.4,2021-08-31,CIIMAR - EcoBioTec New -80ºC Freezer,-80,Catarina Magalhães; Simão Horta ,OSD74_Wa_210831,,,3-200,3.0,200,EMOBON_OSD74_Wa_310821_3µm_(2),Catarina Magalhães,,1874687,0.33,,,,0000-0001-9576-2398,0000-0001-9576-2398,high_tide
EMOBON_OSD74_Wa_4,2021-10-27,2021-11-24,2021-08-31,1.0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],F,,metagenome,N,Y,2,Bucket,EMOBON metagenome water sample from station OSD74 collected on 2021-08-31 size fraction 0.2um,WaSOP1,We used a vacuum pump for filtration,5.4,2021-08-31,CIIMAR - EcoBioTec New -80ºC Freezer,-80,Catarina Magalhães; Simão Horta ,OSD74_Wa_210831,2021-10-26,2021-11-24,0.2-3,0.2,3,EMOBON_OSD74_Wa_310821_0.2µm_(2),Catarina Magalhães,-70.0,1874687,0.33,,,,0000-0001-9576-2398,0000-0001-9576-2398,high_tide
EMOBON_OSD74_Wa_5,,,2021-08-31,1.0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,Y,3,Bucket,EMOBON metagenome water sample from station OSD74 collected on 2021-08-31 size fraction 3um,WaSOP1,We used a vacuum pump for filtration,5.4,2021-08-31,CIIMAR - EcoBioTec New -80ºC Freezer,-80,Catarina Magalhães; Simão Horta ,OSD74_Wa_210831,,,3-200,3.0,200,EMOBON_OSD74_Wa_310821_3µm_(3),Catarina Magalhães,,1874687,0.33,,,,0000-0001-9576-2398,0000-0001-9576-2398,high_tide
EMOBON_OSD74_Wa_6,,,2021-08-31,1.0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,Y,3,Bucket,EMOBON metagenome water sample from station OSD74 collected on 2021-08-31 size fraction 0.2um,WaSOP1,We used a vacuum pump for filtration,5.4,2021-08-31,CIIMAR - EcoBioTec New -80ºC Freezer,-80,Catarina Magalhães; Simão Horta ,OSD74_Wa_210831,,,0.2-3,0.2,3,EMOBON_OSD74_Wa_310821_0.2µm_(3),Catarina Magalhães,,1874687,0.33,,,,0000-0001-9576-2398,0000-0001-9576-2398,high_tide
EMOBON_OSD74_Wa_7,,,2021-08-31,1.0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,Y,4,Bucket,EMOBON metagenome water sample from station OSD74 collected on 2021-08-31 size fraction 3um,WaSOP1,We used a vacuum pump for filtration,5.4,2021-08-31,CIIMAR - EcoBioTec New -80ºC Freezer,-80,Catarina Magalhães; Simão Horta ,OSD74_Wa_210831,,,3-200,3.0,200,EMOBON_OSD74_Wa_310821_3µm_(4),Catarina Magalhães,,1874687,0.33,,,,0000-0001-9576-2398,0000-0001-9576-2398,high_tide
EMOBON_OSD74_Wa_8,,,2021-08-31,1.0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,Y,4,Bucket,EMOBON metagenome water sample from station OSD74 collected on 2021-08-31 size fraction 0.2um,WaSOP1,We used a vacuum pump for filtration,5.4,2021-08-31,CIIMAR - EcoBioTec New -80ºC Freezer,-80,Catarina Magalhães; Simão Horta ,OSD74_Wa_210831,,,0.2-3,0.2,3,EMOBON_OSD74_Wa_310821_0.2µm_(4),Catarina Magalhães,,1874687,0.33,,,,0000-0001-9576-2398,0000-0001-9576-2398,high_tide
EMOBON_OSD74_Wa_9,,,2021-08-31,,MilliQ water [ENVO:00003065],,,metagenome,Y,N,blank_1,,EMOBON metagenome water sample from station OSD74 collected on 2021-08-31 size fraction 3um,WaSOP1,We used a vacuum pump for filtration,5.4,2021-08-31,CIIMAR - EcoBioTec New -80ºC Freezer,-80,Catarina Magalhães; Simão Horta ,OSD74_Wa_210831,,,3-200,3.0,200,EMOBON_OSD74_Wa_310821_3µm_(Blank),Catarina Magalhães,,256318,0.17,,,,0000-0001-9576-2398,0000-0001-9576-2398,no_tide
EMOBON_OSD74_Wa_10,,,2021-08-31,,MilliQ water [ENVO:00003065],,,metagenome,Y,N,blank_1,,EMOBON metagenome water sample from station OSD74 collected on 2021-08-31 size fraction 0.2um,WaSOP1,We used a vacuum pump for filtration,5.4,2021-08-31,CIIMAR - EcoBioTec New -80ºC Freezer,-80,Catarina Magalhães; Simão Horta ,OSD74_Wa_210831,,,0.2-3,0.2,3,EMOBON_OSD74_Wa_310821_0.2µm_(Blank),Catarina Magalhães,,256318,0.17,,,,0000-0001-9576-2398,0000-0001-9576-2398,no_tide
