source_mat_id,arr_date_hq,arr_date_seq,collection_date,depth,env_material,failure,failure_comment,investigation_type,long_store,membr_cut,replicate,samp_collect_device,samp_description,samp_mat_process,samp_mat_process_dev,samp_size_vol,samp_store_date,samp_store_loc,samp_store_temp,sampl_person,sampling_event,ship_date,ship_date_seq,size_frac,size_frac_low,size_frac_up,source_mat_id_orig,store_person,store_temp_hq,tax_id,time_fi,noteworthy_env_cond,other_person,other_person_orcid,sampl_person_orcid,store_person_orcid,tidal_stage
EMOBON_PiEGetxo_Wa_1,2021-10-11,2021-11-24,2021-08-24,1.0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],F,,metagenome,N,Y,1,Niskin,EMOBON metagenome water sample from station PiEGetxo collected on 2021-08-24 size fraction 3-200um,WaSOP 1,MasterFlex L/S,10.0,2021-08-24,"BBEBB, freezer 12 ",-80,Oihane Diaz de Cerio,PiEGetxo_Wa_210824,2021-10-08,2021-11-24,3-200,3.0,200.0,EMO BON PiEGetxo Wa 210824 3um (1),Xabier Lecube,-70.0,1874687,1.0,,Ibon Cancio, 0000-0003-4841-0079,0000-0002-5605-8434, 0000-0002-1005-4593,low_tide
EMOBON_PiEGetxo_Wa_2,2021-10-11,2021-11-24,2021-08-24,1.0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],F,,metagenome,N,Y,2,Niskin,EMOBON metagenome water sample from station PiEGetxo collected on 2021-08-24 size fraction 3-200um,WaSOP 1,MasterFlex L/S,10.0,2021-08-24,"BBEBB, freezer 12 ",-80,Oihane Diaz de Cerio,PiEGetxo_Wa_210824,2021-10-08,2021-11-24,3-200,3.0,200.0,EMO BON PiEGetxo Wa 210824 3um (2),Xabier Lecube,-70.0,1874687,1.0,,Ibon Cancio, 0000-0003-4841-0079,0000-0002-5605-8434, 0000-0002-1005-4593,low_tide
EMOBON_PiEGetxo_Wa_3,2021-10-11,2021-11-24,2021-08-24,1.0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],F,,metagenome,N,Y,1,Niskin,EMOBON metagenome water sample from station PiEGetxo collected on 2021-08-24 size fraction 0.2-3um,WaSOP 1,MasterFlex L/S,10.0,2021-08-24,"BBEBB, freezer 12 ",-80,Oihane Diaz de Cerio,PiEGetxo_Wa_210824,2021-10-08,2021-11-24,0.2-3,0.2,3.0,EMO BON PiEGetxo Wa 210824 0.2um (1),Xabier Lecube,-70.0,1874687,1.0,,Ibon Cancio, 0000-0003-4841-0079,0000-0002-5605-8434, 0000-0002-1005-4593,low_tide
EMOBON_PiEGetxo_Wa_4,2021-10-11,2021-11-24,2021-08-24,1.0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],F,,metagenome,N,Y,2,Niskin,EMOBON metagenome water sample from station PiEGetxo collected on 2021-08-24 size fraction 0.2-3um,WaSOP 1,MasterFlex L/S,10.0,2021-08-24,"BBEBB, freezer 12 ",-80,Oihane Diaz de Cerio,PiEGetxo_Wa_210824,2021-10-08,2021-11-24,0.2-3,0.2,3.0,EMO BON PiEGetxo Wa 210824 0.2um (2),Xabier Lecube,-70.0,1874687,1.0,,Ibon Cancio, 0000-0003-4841-0079,0000-0002-5605-8434, 0000-0002-1005-4593,low_tide
EMOBON_PiEGetxo_Wa_5,2021-10-11,2021-11-24,2021-08-24,,MilliQ water [ENVO:00003065],F,,metagenome,N,Y,blank_1,,EMOBON metagenome water sample from station PiEGetxo collected on 2021-08-24 size fraction 3-200um,WaSOP 1,MasterFlex L/S,,2021-08-24,"BBEBB, freezer 12 ",-80,Oihane Diaz de Cerio,PiEGetxo_Wa_210824,2021-10-08,2021-11-24,3-200,3.0,200.0,EMO BON PiEGetxo Wa 210824 3um (BLANK),Xabier Lecube,-70.0,1874687,,,Ibon Cancio, 0000-0003-4841-0079,0000-0002-5605-8434, 0000-0002-1005-4593,no_tide
EMOBON_PiEGetxo_Wa_6,2021-10-11,2021-11-24,2021-08-24,,MilliQ water [ENVO:00003065],F,,metagenome,N,Y,blank_1,,EMOBON metagenome water sample from station PiEGetxo collected on 2021-08-24 size fraction 0.2-3um,WaSOP 1,MasterFlex L/S,,2021-08-24,"BBEBB, freezer 12 ",-80,Oihane Diaz de Cerio,PiEGetxo_Wa_210824,2021-10-08,2021-11-24,0.2-3,0.2,3.0,EMO BON PiEGetxo Wa 210824 0.2um (BLANK),Xabier Lecube,-70.0,1874687,,,Ibon Cancio, 0000-0003-4841-0079,0000-0002-5605-8434, 0000-0002-1005-4593,no_tide
EMOBON_PiEGetxo_Wa_7,,,2021-08-24,1.0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,Y,3,Niskin,EMOBON metagenome water sample from station PiEGetxo collected on 2021-08-24 size fraction 3-200um,WaSOP 1,MasterFlex L/S,10.0,2021-08-24,"BBEBB, freezer 12 ",-80,Oihane Diaz de Cerio,PiEGetxo_Wa_210824,,,3-200,3.0,200.0,EMO BON PiEGetxo Wa 210824 3um (3),Xabier Lecube,,1874687,1.0,,Ibon Cancio, 0000-0003-4841-0079,0000-0002-5605-8434, 0000-0002-1005-4593,low_tide
EMOBON_PiEGetxo_Wa_8,,,2021-08-24,1.0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,Y,4,Niskin,EMOBON metagenome water sample from station PiEGetxo collected on 2021-08-24 size fraction 3-200um,WaSOP 1,MasterFlex L/S,10.0,2021-08-24,"BBEBB, freezer 12 ",-80,Oihane Diaz de Cerio,PiEGetxo_Wa_210824,,,3-200,3.0,200.0,EMO BON PiEGetxo Wa 210824 3um (4),Xabier Lecube,,1874687,1.0,,Ibon Cancio, 0000-0003-4841-0079,0000-0002-5605-8434, 0000-0002-1005-4593,low_tide
EMOBON_PiEGetxo_Wa_9,,,2021-08-24,1.0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,Y,3,Niskin,EMOBON metagenome water sample from station PiEGetxo collected on 2021-08-24 size fraction 0.2-3um,WaSOP 1,MasterFlex L/S,10.0,2021-08-24,"BBEBB, freezer 12 ",-80,Oihane Diaz de Cerio,PiEGetxo_Wa_210824,,,0.2-3,0.2,3.0,EMO BON PiEGetxo Wa 210824 0.2um (3),Xabier Lecube,,1874687,1.0,,Ibon Cancio, 0000-0003-4841-0079,0000-0002-5605-8434, 0000-0002-1005-4593,low_tide
EMOBON_PiEGetxo_Wa_10,,,2021-08-24,1.0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,Y,4,Niskin,EMOBON metagenome water sample from station PiEGetxo collected on 2021-08-24 size fraction 0.2-3um,WaSOP 1,MasterFlex L/S,10.0,2021-08-24,"BBEBB, freezer 12 ",-80,Oihane Diaz de Cerio,PiEGetxo_Wa_210824,,,0.2-3,0.2,3.0,EMO BON PiEGetxo Wa 210824 0.2um (4),Xabier Lecube,,1874687,1.0,,Ibon Cancio, 0000-0003-4841-0079,0000-0002-5605-8434, 0000-0002-1005-4593,low_tide
