source_mat_id,arr_date_hq,arr_date_seq,collection_date,comm_samp,depth,env_material,failure,failure_comment,investigation_type,long_store,replicate,samp_collect_device,samp_store_date,samp_mat_process,samp_mat_process_dev,samp_size_mass,samp_store_loc,samp_store_temp,sampl_person,sampling_event,ship_date,ship_date_seq,size_frac_low,size_frac_up,source_mat_id_orig,store_person,store_temp_hq,noteworthy_env_cond,other_person,other_person_orcid,sampl_person_orcid,store_person_orcid,tidal_stage
EMOBON_RFormosa_So_1,2021-10-19,2021-11-24,2021-08-05,micro,0.0,lagoon [ENVO_00000038]; sediment [ENVO:00002007],F,,metagenome,N,1,PVC core D50mm,2021-08-05,SoSOP 1,"Core with diameter of 50mm instead of 100mm. Added DNAshield much less amount, around 6ml.",10.0,"Ed7, room 1.10, freezer #300387-118",-80.0,Bruno Louro,RFormosa_So_210805,2021-10-12,2021-11-24,,,EMO BON RFormosa SO 210805 micro(1),Bruno Louro,-70.0,,,,0000-0001-8164-581X,0000-0001-8164-581X,low_tide
EMOBON_RFormosa_So_2,2021-10-19,2021-11-24,2021-08-05,micro,0.0,lagoon [ENVO_00000038]; sediment [ENVO:00002007],F,,metagenome,N,2,PVC core D50mm,2021-08-05,SoSOP 1,"Core with diameter of 50mm instead of 100mm. Added DNAshield much less amount, around 6ml.",10.0,"Ed7, room 1.10, freezer #300387-118",-80.0,Bruno Louro,RFormosa_So_210805,2021-10-12,2021-11-24,,,EMO BON RFormosa SO 210805 micro(2),Bruno Louro,-70.0,,,,0000-0001-8164-581X,0000-0001-8164-581X,low_tide
EMOBON_RFormosa_So_3,,,2021-08-05,micro,0.0,lagoon [ENVO_00000038]; sediment [ENVO:00002007],,,metagenome,Y,3,PVC core D50mm,2021-08-05,SoSOP 1,"Core with diameter of 50mm instead of 100mm. Added DNAshield much less amount, around 6ml.",10.0,"Ed7, room 1.10, freezer #300387-118",-80.0,Bruno Louro,RFormosa_So_210805,,,,,EMO BON RFormosa SO 210805 micro(3),Bruno Louro,,,,,0000-0001-8164-581X,0000-0001-8164-581X,low_tide
EMOBON_RFormosa_So_4,,,2021-08-05,micro,0.0,lagoon [ENVO_00000038]; sediment [ENVO:00002007],,,metagenome,Y,4,PVC core D50mm,2021-08-05,SoSOP 1,"Core with diameter of 50mm instead of 100mm. Added DNAshield much less amount, around 6ml.",10.0,"Ed7, room 1.10, freezer #300387-118",-80.0,Bruno Louro,RFormosa_So_210805,,,,,EMO BON RFormosa SO 210805 micro(4),Bruno Louro,,,,,0000-0001-8164-581X,0000-0001-8164-581X,low_tide
EMOBON_RFormosa_So_5,,,2021-08-05,micro,,,,,metagenome,Y,blank_1,,2021-08-05,SoSOP 1,,,"Ed7, room 1.10, freezer #300387-118",-80.0,Bruno Louro,RFormosa_So_210805,,,,,EMO BON RFormosa SO 210805 blank,Bruno Louro,,,,,0000-0001-8164-581X,0000-0001-8164-581X,low_tide
EMOBON_RFormosa_So_6,2022-02-02,2022-02-23,2021-10-22,micro,0.0,lagoon [ENVO_00000038]; sediment [ENVO:00002007],F,,metagenome,N,1,PVC core D50mm,2021-10-22,SoSOP 1,"Core with diameter of 50mm instead of 100mm. Added DNAshield much less amount, around 6ml.",5.0,"Ed7, room 1.10, freezer #300387-118",-80.0,Bruno Louro,RFormosa_So_211022,2022-01-24,2022-02-22,,,EMO BON RFormosa SO 211022 micro(1),Bruno Louro,-70.0,,,,0000-0001-8164-581X,0000-0001-8164-581X,low_tide
EMOBON_RFormosa_So_7,2022-02-02,2022-02-23,2021-10-22,micro,0.0,lagoon [ENVO_00000038]; sediment [ENVO:00002007],F,,metagenome,N,2,PVC core D50mm,2021-10-22,SoSOP 1,"Core with diameter of 50mm instead of 100mm. Added DNAshield much less amount, around 6ml.",5.0,"Ed7, room 1.10, freezer #300387-118",-80.0,Bruno Louro,RFormosa_So_211022,2022-01-24,2022-02-22,,,EMO BON RFormosa SO 211022 micro(2),Bruno Louro,-70.0,,,,0000-0001-8164-581X,0000-0001-8164-581X,low_tide
EMOBON_RFormosa_So_8,,,2021-10-22,micro,0.0,lagoon [ENVO_00000038]; sediment [ENVO:00002007],,,metagenome,Y,3,PVC core D50mm,2021-10-22,SoSOP 1,"Core with diameter of 50mm instead of 100mm. Added DNAshield much less amount, around 6ml.",5.0,"Ed7, room 1.10, freezer #300387-118",-80.0,Bruno Louro,RFormosa_So_211022,,,,,EMO BON RFormosa SO 211022 micro(3),Bruno Louro,,,,,0000-0001-8164-581X,0000-0001-8164-581X,low_tide
EMOBON_RFormosa_So_9,,,2021-10-22,micro,0.0,lagoon [ENVO_00000038]; sediment [ENVO:00002007],,,metagenome,Y,4,PVC core D50mm,2021-10-22,SoSOP 1,"Core with diameter of 50mm instead of 100mm. Added DNAshield much less amount, around 6ml.",5.0,"Ed7, room 1.10, freezer #300387-118",-80.0,Bruno Louro,RFormosa_So_211022,,,,,EMO BON RFormosa SO 211022 micro(4),Bruno Louro,,,,,0000-0001-8164-581X,0000-0001-8164-581X,low_tide
EMOBON_RFormosa_So_10,,,2021-10-22,micro,,,,,metagenome,Y,blank_1,,2021-10-22,SoSOP 1,,,"Ed7, room 1.10, freezer #300387-118",-80.0,Bruno Louro,RFormosa_So_211022,,,,,EMO BON RFormosa SO 211022 blank,Bruno Louro,,,,,0000-0001-8164-581X,0000-0001-8164-581X,low_tide
EMOBON_RFormosa_So_11,2022-02-02,2022-02-23,2021-12-20,micro,0.0,lagoon [ENVO_00000038]; sediment [ENVO:00002007],F,,metagenome,N,1,PVC core D50mm,2021-12-20,SoSOP 1,"Core with diameter of 50mm instead of 100mm. Added DNAshield much less amount, around 6ml.",5.0,"Ed7, room 1.10, freezer #300387-118",-80.0,Bruno Louro,RFormosa_So_211220,2022-01-24,2022-02-22,,,EMO BON RFormosa SO 211220 micro(1),Bruno Louro,-70.0,,,,0000-0001-8164-581X,0000-0001-8164-581X,low_tide
EMOBON_RFormosa_So_12,2022-02-02,2022-02-23,2021-12-20,micro,0.0,lagoon [ENVO_00000038]; sediment [ENVO:00002007],F,,metagenome,N,2,PVC core D50mm,2021-12-20,SoSOP 1,"Core with diameter of 50mm instead of 100mm. Added DNAshield much less amount, around 6ml.",5.0,"Ed7, room 1.10, freezer #300387-118",-80.0,Bruno Louro,RFormosa_So_211220,2022-01-24,2022-02-22,,,EMO BON RFormosa SO 211220 micro(2),Bruno Louro,-70.0,,,,0000-0001-8164-581X,0000-0001-8164-581X,low_tide
EMOBON_RFormosa_So_13,,,2021-12-20,micro,0.0,lagoon [ENVO_00000038]; sediment [ENVO:00002007],,,metagenome,Y,3,PVC core D50mm,2021-12-20,SoSOP 1,"Core with diameter of 50mm instead of 100mm. Added DNAshield much less amount, around 6ml.",5.0,"Ed7, room 1.10, freezer #300387-118",-80.0,Bruno Louro,RFormosa_So_211220,,,,,EMO BON RFormosa SO 211220 micro(3),Bruno Louro,,,,,0000-0001-8164-581X,0000-0001-8164-581X,low_tide
EMOBON_RFormosa_So_14,,,2021-12-20,micro,0.0,lagoon [ENVO_00000038]; sediment [ENVO:00002007],,,metagenome,Y,4,PVC core D50mm,2021-12-20,SoSOP 1,"Core with diameter of 50mm instead of 100mm. Added DNAshield much less amount, around 6ml.",5.0,"Ed7, room 1.10, freezer #300387-118",-80.0,Bruno Louro,RFormosa_So_211220,,,,,EMO BON RFormosa SO 211220 micro(4),Bruno Louro,,,,,0000-0001-8164-581X,0000-0001-8164-581X,low_tide
EMOBON_RFormosa_So_15,,,2021-12-20,micro,,,,,metagenome,Y,blank_1,,2021-12-20,SoSOP 1,,,"Ed7, room 1.10, freezer #300387-118",-80.0,Bruno Louro,RFormosa_So_211220,,,,,EMO BON RFormosa SO 211220 blank,Bruno Louro,,,,,0000-0001-8164-581X,0000-0001-8164-581X,low_tide
EMOBON_RFormosa_So_16,2022-10-26,2023-06-01,2022-02-24,micro,0.0,lagoon [ENVO_00000038]; sediment [ENVO:00002007],,,metagenome,N,1,PVC core D50mm,2022-02-24,SoSOP 1,"Core with diameter of 50mm instead of 100mm. Added DNAshield much less amount, around 6ml.",5.0,"Ed7, room 1.10, freezer #300387-118",-80.0,Bruno Louro,RFormosa_So_220224,2022-10-17,2023-06-01,,,EMO BON RFormosa SO 220224 micro(1),Bruno Louro,-70.0,,,,0000-0001-8164-581X,0000-0001-8164-581X,low_tide
