source_mat_id,arr_date_hq,arr_date_seq,collection_date,depth,env_material,failure,failure_comment,investigation_type,long_store,membr_cut,replicate,samp_collect_device,samp_description,samp_mat_process,samp_mat_process_dev,samp_size_vol,samp_store_date,samp_store_loc,samp_store_temp,sampl_person,sampling_event,ship_date,ship_date_seq,size_frac,size_frac_low,size_frac_up,source_mat_id_orig,store_person,store_temp_hq,tax_id,time_fi,noteworthy_env_cond,other_person,other_person_orcid,sampl_person_orcid,store_person_orcid,tidal_stage
EMOBON_RFormosa_Wa_1,2021-10-19,2021-11-24,2021-08-05,0.2,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],F,,metagenome,N,Y,1,bucket,EMOBON metagenome water sample from station RFormosa collected on 2021-08-05 size fraction 3-200um,WaSOP 1,peristaltic pump,5.0,2021-08-05,"Ed7, room 1.10, freezer #300387-118",-80.0,Bruno Louro,RFormosa_Wa_210805,2021-10-12,2021-11-24,3-200,3.0,200.0,EMO BON RFormosa Wa 210805 3um_1,Bruno Louro,-70.0,1874687.0,fi,,,,0000-0001-8164-581X,0000-0001-8164-581X,low_tide
EMOBON_RFormosa_Wa_2,2021-10-19,2021-11-24,2021-08-05,0.2,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],F,,metagenome,N,Y,2,bucket,EMOBON metagenome water sample from station RFormosa collected on 2021-08-05 size fraction 3-200um,WaSOP 1,peristaltic pump,5.0,2021-08-05,"Ed7, room 1.10, freezer #300387-118",-80.0,Bruno Louro,RFormosa_Wa_210805,2021-10-12,2021-11-24,3-200,3.0,200.0,EMO BON RFormosa Wa 210805 3um_2,Bruno Louro,-70.0,1874687.0,fi,,,,0000-0001-8164-581X,0000-0001-8164-581X,low_tide
EMOBON_RFormosa_Wa_3,,,2021-08-05,0.2,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],,,metagenome,Y,Y,3,bucket,EMOBON metagenome water sample from station RFormosa collected on 2021-08-05 size fraction 3-200um,WaSOP 1,peristaltic pump,5.0,2021-08-05,"Ed7, room 1.10, freezer #300387-118",-80.0,Bruno Louro,RFormosa_Wa_210805,,,3-200,3.0,200.0,EMO BON RFormosa Wa 210805 3um_3,Bruno Louro,,1874687.0,fi,,,,0000-0001-8164-581X,0000-0001-8164-581X,low_tide
EMOBON_RFormosa_Wa_4,,,2021-08-05,0.2,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],,,metagenome,Y,Y,4,bucket,EMOBON metagenome water sample from station RFormosa collected on 2021-08-05 size fraction 3-200um,WaSOP 1,peristaltic pump,5.0,2021-08-05,"Ed7, room 1.10, freezer #300387-118",-80.0,Bruno Louro,RFormosa_Wa_210805,,,3-200,3.0,200.0,EMO BON RFormosa Wa 210805 3um_4,Bruno Louro,,1874687.0,fi,,,,0000-0001-8164-581X,0000-0001-8164-581X,low_tide
EMOBON_RFormosa_Wa_5,2021-10-19,2021-11-24,2021-08-05,0.2,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],F,,metagenome,N,Y,1,bucket,EMOBON metagenome water sample from station RFormosa collected on 2021-08-05 size fraction 0.2-3um,WaSOP 1,peristaltic pump,5.0,2021-08-05,"Ed7, room 1.10, freezer #300387-118",-80.0,Bruno Louro,RFormosa_Wa_210805,2021-10-12,2021-11-24,0.2-3,0.2,3.0,EMO BON RFormosa Wa 210805 0.22um_1,Bruno Louro,-70.0,1874687.0,fi,,,,0000-0001-8164-581X,0000-0001-8164-581X,low_tide
EMOBON_RFormosa_Wa_6,2021-10-19,2021-11-24,2021-08-05,0.2,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],F,,metagenome,N,Y,2,bucket,EMOBON metagenome water sample from station RFormosa collected on 2021-08-05 size fraction 0.2-3um,WaSOP 1,peristaltic pump,5.0,2021-08-05,"Ed7, room 1.10, freezer #300387-118",-80.0,Bruno Louro,RFormosa_Wa_210805,2021-10-12,2021-11-24,0.2-3,0.2,3.0,EMO BON RFormosa Wa 210805 0.22um_2,Bruno Louro,-70.0,1874687.0,fi,,,,0000-0001-8164-581X,0000-0001-8164-581X,low_tide
EMOBON_RFormosa_Wa_7,,,2021-08-05,0.2,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],,,metagenome,Y,Y,3,bucket,EMOBON metagenome water sample from station RFormosa collected on 2021-08-05 size fraction 0.2-3um,WaSOP 1,peristaltic pump,5.0,2021-08-05,"Ed7, room 1.10, freezer #300387-118",-80.0,Bruno Louro,RFormosa_Wa_210805,,,0.2-3,0.2,3.0,EMO BON RFormosa Wa 210805 0.22um_3,Bruno Louro,,1874687.0,fi,,,,0000-0001-8164-581X,0000-0001-8164-581X,low_tide
EMOBON_RFormosa_Wa_8,,,2021-08-05,0.2,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],,,metagenome,Y,Y,4,bucket,EMOBON metagenome water sample from station RFormosa collected on 2021-08-05 size fraction 0.2-3um,WaSOP 1,peristaltic pump,5.0,2021-08-05,"Ed7, room 1.10, freezer #300387-118",-80.0,Bruno Louro,RFormosa_Wa_210805,,,0.2-3,0.2,3.0,EMO BON RFormosa Wa 210805 0.22um_4,Bruno Louro,,1874687.0,fi,,,,0000-0001-8164-581X,0000-0001-8164-581X,low_tide
EMOBON_RFormosa_Wa_9,,,2021-08-05,,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],,,metagenome,Y,N,blank_1,,EMOBON metagenome water sample from station RFormosa collected on 2021-08-05 size fraction 3-200um,WaSOP 1,peristaltic pump,5.0,2021-08-05,"Ed7, room 1.10, freezer #300387-118",-80.0,Bruno Louro,RFormosa_Wa_210805,,,3-200,3.0,200.0,EMO BON RFormosa Wa 210805 3um_Blank,Bruno Louro,,256318.0,fi,,,,0000-0001-8164-581X,0000-0001-8164-581X,low_tide
EMOBON_RFormosa_Wa_10,,,2021-08-05,,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],,,metagenome,Y,N,blank_1,,EMOBON metagenome water sample from station RFormosa collected on 2021-08-05 size fraction 0.2-3um,WaSOP 1,peristaltic pump,5.0,2021-08-05,"Ed7, room 1.10, freezer #300387-118",-80.0,Bruno Louro,RFormosa_Wa_210805,,,0.2-3,0.2,3.0,EMO BON RFormosa Wa 210805 0.22um_Blank,Bruno Louro,,256318.0,fi,,,,0000-0001-8164-581X,0000-0001-8164-581X,low_tide
EMOBON_RFormosa_Wa_11,2022-02-02,2022-02-23,2021-10-22,0.2,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],F,,metagenome,N,Y,1,bucket,EMOBON metagenome water sample from station RFormosa collected on 2021-10-22 size fraction 3-200um,WaSOP 1,peristaltic pump,5.0,2021-10-22,"Ed7, room 1.10, freezer #300387-118",-80.0,Bruno Louro,RFormosa_Wa_211022,2022-01-24,2022-02-22,3-200,3.0,200.0,EMO BON RFormosa Wa 211022 3um_1,Bruno Louro,-70.0,1874687.0,fi,,,,0000-0001-8164-581X,0000-0001-8164-581X,low_tide
EMOBON_RFormosa_Wa_12,2022-02-02,2022-02-23,2021-10-22,0.2,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],F,,metagenome,N,Y,2,bucket,EMOBON metagenome water sample from station RFormosa collected on 2021-10-22 size fraction 3-200um,WaSOP 1,peristaltic pump,5.0,2021-10-22,"Ed7, room 1.10, freezer #300387-118",-80.0,Bruno Louro,RFormosa_Wa_211022,2022-01-24,2022-02-22,3-200,3.0,200.0,EMO BON RFormosa Wa 211022 3um_2,Bruno Louro,-70.0,1874687.0,fi,,,,0000-0001-8164-581X,0000-0001-8164-581X,low_tide
EMOBON_RFormosa_Wa_13,,,2021-10-22,0.2,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],,,metagenome,Y,Y,3,bucket,EMOBON metagenome water sample from station RFormosa collected on 2021-10-22 size fraction 3-200um,WaSOP 1,peristaltic pump,5.0,2021-10-22,"Ed7, room 1.10, freezer #300387-118",-80.0,Bruno Louro,RFormosa_Wa_211022,,,3-200,3.0,200.0,EMO BON RFormosa Wa 211022 3um_3,Bruno Louro,,1874687.0,fi,,,,0000-0001-8164-581X,0000-0001-8164-581X,low_tide
EMOBON_RFormosa_Wa_14,,,2021-10-22,0.2,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],,,metagenome,Y,Y,4,bucket,EMOBON metagenome water sample from station RFormosa collected on 2021-10-22 size fraction 3-200um,WaSOP 1,peristaltic pump,5.0,2021-10-22,"Ed7, room 1.10, freezer #300387-118",-80.0,Bruno Louro,RFormosa_Wa_211022,,,3-200,3.0,200.0,EMO BON RFormosa Wa 211022 3um_4,Bruno Louro,,1874687.0,fi,,,,0000-0001-8164-581X,0000-0001-8164-581X,low_tide
EMOBON_RFormosa_Wa_15,2022-02-02,2022-02-23,2021-10-22,0.2,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],F,,metagenome,N,Y,1,bucket,EMOBON metagenome water sample from station RFormosa collected on 2021-10-22 size fraction 0.2-3um,WaSOP 1,peristaltic pump,5.0,2021-10-22,"Ed7, room 1.10, freezer #300387-118",-80.0,Bruno Louro,RFormosa_Wa_211022,2022-01-24,2022-02-22,0.2-3,0.2,3.0,EMO BON RFormosa Wa 211022 0.22um_1,Bruno Louro,-70.0,1874687.0,fi,,,,0000-0001-8164-581X,0000-0001-8164-581X,low_tide
EMOBON_RFormosa_Wa_16,2022-02-02,2022-02-23,2021-10-22,0.2,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],F,,metagenome,N,Y,2,bucket,EMOBON metagenome water sample from station RFormosa collected on 2021-10-22 size fraction 0.2-3um,WaSOP 1,peristaltic pump,5.0,2021-10-22,"Ed7, room 1.10, freezer #300387-118",-80.0,Bruno Louro,RFormosa_Wa_211022,2022-01-24,2022-02-22,0.2-3,0.2,3.0,EMO BON RFormosa Wa 211022 0.22um_2,Bruno Louro,-70.0,1874687.0,fi,,,,0000-0001-8164-581X,0000-0001-8164-581X,low_tide
EMOBON_RFormosa_Wa_17,,,2021-10-22,0.2,lagoon [ENVO_00000038];marine water body [ENVO:00001999]; surface water [ENVO:00002042],,,metagenome,Y,Y,3,bucket,EMOBON metagenome water sample from station RFormosa collected on 2021-10-22 size fraction 0.2-3um,WaSOP 1,peristaltic pump,5.0,2021-10-22,"Ed7, room 1.10, freezer #300387-118",-80.0,Bruno Louro,RFormosa_Wa_211022,,,0.2-3,0.2,3.0,EMO BON RFormosa Wa 211022 0.22um_3,Bruno Louro,,1874687.0,fi,,,,0000-0001-8164-581X,0000-0001-8164-581X,low_tide
