source_mat_id,arr_date_hq,arr_date_seq,collection_date,comm_samp,depth,env_material,failure,failure_comment,investigation_type,long_store,replicate,samp_collect_device,samp_store_date,samp_mat_process,samp_mat_process_dev,samp_size_mass,samp_store_loc,samp_store_temp,sampl_person,sampling_event,ship_date,ship_date_seq,size_frac_low,size_frac_up,source_mat_id_orig,store_person,store_temp_hq,noteworthy_env_cond,other_person,other_person_orcid,sampl_person_orcid,store_person_orcid,tidal_stage
EMOBON_ROSKOGO_So_1,2021-10-22,2021-11-24,2021-08-26,micro,17.0,sediment [ENVO:00002007],F,,metagenome,N,1,core,2021-08-26,SoSOP2,,10.8,SBR YD001 freezer 17,-80.0,Wilfried Thomas; Daguin; Thiebaut; Comtet,ROSKOGO_So_210826,2021-10-19,2021-11-24,,,EMOBON ROSKOGO So210826 micro 1,,-70,,,,,,ebb_tide
EMOBON_ROSKOGO_So_2,2021-10-22,2021-11-24,2021-08-26,micro,17.0,sediment [ENVO:00002007],F,,metagenome,N,2,core,2021-08-26,SoSOP2,,9.3,SBR YD001 freezer 17,-80.0,Wilfried Thomas; Daguin; Thiebaut; Comtet,ROSKOGO_So_210826,2021-10-19,2021-11-24,,,EMOBON ROSKOGO So210826 micro 2,,-70,,,,,,ebb_tide
EMOBON_ROSKOGO_So_3,,,2021-08-26,micro,17.0,sediment [ENVO:00002007],,,metagenome,Y,3,core,2021-08-26,SoSOP2,,10.3,SBR YD001 freezer 17,-80.0,Wilfried Thomas; Daguin; Thiebaut; Comtet,ROSKOGO_So_210826,,,,,EMOBON ROSKOGO So210826 micro 3,,,,,,,,ebb_tide
EMOBON_ROSKOGO_So_4,,,2021-08-26,micro,17.0,sediment [ENVO:00002007],,,metagenome,Y,4,core,2021-08-26,SoSOP2,,10.6,SBR YD001 freezer 17,-80.0,Wilfried Thomas; Daguin; Thiebaut; Comtet,ROSKOGO_So_210826,,,,,EMOBON ROSKOGO So210826 micro 4,,,,,,,,ebb_tide
EMOBON_ROSKOGO_So_5,,,2021-08-26,micro,17.0,sediment [ENVO:00002007],,,metagenome,Y,blank_1,swab,2021-08-26,SoSOP2,,,SBR YD001 freezer 17,-80.0,Daguin; Thiebaut; Comtet,ROSKOGO_So_210826,,,,,EMOBON ROSKOGO So210826 micro blank,,,,,,,,
EMOBON_ROSKOGO_So_6,2022-01-21,2023-06-01,2021-09-23,macro,17.0,sediment [ENVO:00002007],,,mimarks-specimen,N,1,McIntyre grab,2021-09-23,SoSOP3,,13.4,SBR YD101.2 fridge R10,4.0,"Houbin, Daguin, Comtet",ROSKOGO_So_210923,2022-01-18,2023-06-01,,,EMOBON ROSKOGO So210923 Macro 1,Céline Houbin,4,,,,0000-0002-4572-3371,0000-0002-4572-3371,ebb_tide
EMOBON_ROSKOGO_So_7,2022-01-21,2023-10-17,2021-09-23,macro,17.0,sediment [ENVO:00002007],,,mimarks-specimen,N,2,McIntyre grab,2021-09-23,SoSOP3,,14.17,SBR YD101.2 fridge R10,4.0,"Houbin, Daguin, Comtet",ROSKOGO_So_210923,2022-01-18,2023-10-17,,,EMOBON ROSKOGO So210923 Macro 2,Céline Houbin,4,,,,0000-0002-4572-3371,0000-0002-4572-3371,ebb_tide
EMOBON_ROSKOGO_So_8,,,2021-09-23,macro,17.0,sediment [ENVO:00002007],,,mimarks-specimen,Y,3,McIntyre grab,2021-09-23,SoSOP3,,10.26,SBR YD101.2 fridge R10,4.0,"Houbin, Daguin, Comtet",ROSKOGO_So_210923,,,,,EMOBON ROSKOGO So210923 Macro 3,Céline Houbin,,,,,0000-0002-4572-3371,0000-0002-4572-3371,ebb_tide
EMOBON_ROSKOGO_So_9,,,2021-09-23,macro,17.0,sediment [ENVO:00002007],,,mimarks-specimen,Y,4,McIntyre grab,2021-09-23,SoSOP3,,10.91,SBR YD101.2 fridge R10,4.0,"Houbin, Daguin, Comtet",ROSKOGO_So_210923,,,,,EMOBON ROSKOGO So210923 Macro 4,Céline Houbin,,,,,0000-0002-4572-3371,0000-0002-4572-3371,ebb_tide
EMOBON_ROSKOGO_So_10,,,2021-09-23,macro,17.0,sediment [ENVO:00002007],,,mimarks-specimen,Y,blank_1,swab,2021-09-23,SoSOP3,,,SBR YD101.2 fridge R10,4.0,"Houbin, Daguin, Comtet",ROSKOGO_So_210923,,,,,EMOBON ROSKOGO So210923 Macro blank,Céline Houbin,,,,,0000-0002-4572-3371,0000-0002-4572-3371,ebb_tide
EMOBON_ROSKOGO_So_11,2023-09-21,,2021-11-19,meio,17.0,sediment [ENVO:00002007],,,mimarks-specimen,N,1,core,2021-11-19,SoSOP2,ludox extraction to be done,500.0,SBR YD101.1 C27,-20.0,Thomas; Camusat;Daguin; Thiebaut; Comtet,ROSKOGO_So_211119,2023-09-19,,,,EMOBON ROSKOGO So211119 meio 1,Claire Daguin-Thiebaut,-70,,,,,0000-0003-4665-6411,ebb_tide
EMOBON_ROSKOGO_So_12,2023-09-21,,2021-11-19,meio,17.0,sediment [ENVO:00002007],,,mimarks-specimen,N,2,core,2021-11-19,SoSOP2,ludox extraction to be done,594.0,SBR YD101.1 C27,-20.0,Thomas; Camusat;Daguin; Thiebaut; Comtet,ROSKOGO_So_211119,2023-09-19,,,,EMOBON ROSKOGO So211119 meio 2,Claire Daguin-Thiebaut,-70,,,,,0000-0003-4665-6411,ebb_tide
EMOBON_ROSKOGO_So_13,,,2021-11-19,meio,17.0,sediment [ENVO:00002007],,,mimarks-specimen,Y,3,core,2021-11-19,SoSOP2,ludox extraction to be done,572.0,SBR YD101.1 C27,-20.0,Thomas; Camusat;Daguin; Thiebaut; Comtet,ROSKOGO_So_211119,,,,,EMOBON ROSKOGO So211119 meio 3,Claire Daguin-Thiebaut,,,,,,0000-0003-4665-6411,ebb_tide
EMOBON_ROSKOGO_So_14,,,2021-11-19,meio,17.0,sediment [ENVO:00002007],,,mimarks-specimen,Y,4,core,2021-11-19,SoSOP2,ludox extraction to be done,678.0,SBR YD101.1 C27,-20.0,Thomas; Camusat;Daguin; Thiebaut; Comtet,ROSKOGO_So_211119,,,,,EMOBON ROSKOGO So211119 meio 4,Claire Daguin-Thiebaut,,,,,,0000-0003-4665-6411,ebb_tide
EMOBON_ROSKOGO_So_15,,,2021-11-19,meio,17.0,swab,,,mimarks-specimen,Y,blank_1,core,2021-11-19,SoSOP2,,,SBR YD101.1 C27,-20.0,Daguin; Thiebaut; Comtet,ROSKOGO_So_211119,,,,,EMOBON ROSKOGO So211119 meio blank,Claire Daguin-Thiebaut,,,,,,0000-0003-4665-6411,ebb_tide
EMOBON_ROSKOGO_So_16,2022-01-21,2022-02-23,2021-11-19,micro,17.0,sediment [ENVO:00002007],F,,metagenome,N,1,core,2021-11-19,SoSOP2,,11.4,SBR YD001 freezer 17,-80.0,Thomas; Camusat;Daguin; Thiebaut; Comtet,ROSKOGO_So_211119,2022-01-18,2022-02-22,,,EMOBON ROSKOGO So211119 micro 1,Claire Daguin-Thiebaut,-70,,,,,0000-0003-4665-6411,ebb_tide
EMOBON_ROSKOGO_So_17,2022-01-21,2022-02-23,2021-11-19,micro,17.0,sediment [ENVO:00002007],F,,metagenome,N,2,core,2021-11-19,SoSOP2,,12.4,SBR YD001 freezer 17,-80.0,Thomas; Camusat;Daguin; Thiebaut; Comtet,ROSKOGO_So_211119,2022-01-18,2022-02-22,,,EMOBON ROSKOGO So211119 micro 2,Claire Daguin-Thiebaut,-70,,,,,0000-0003-4665-6411,ebb_tide
EMOBON_ROSKOGO_So_18,,,2021-11-19,micro,17.0,sediment [ENVO:00002007],,,metagenome,Y,3,core,2021-11-19,SoSOP2,,10.8,SBR YD001 freezer 17,-80.0,Thomas; Camusat;Daguin; Thiebaut; Comtet,ROSKOGO_So_211119,,,,,EMOBON ROSKOGO So211119 micro 3,Claire Daguin-Thiebaut,,,,,,0000-0003-4665-6411,ebb_tide
EMOBON_ROSKOGO_So_19,,,2021-11-19,micro,17.0,sediment [ENVO:00002007],,,metagenome,Y,4,core,2021-11-19,SoSOP2,,9.8,SBR YD001 freezer 17,-80.0,Thomas; Camusat;Daguin; Thiebaut; Comtet,ROSKOGO_So_211119,,,,,EMOBON ROSKOGO So211119 micro 4,Claire Daguin-Thiebaut,,,,,,0000-0003-4665-6411,ebb_tide
EMOBON_ROSKOGO_So_20,,,2021-11-19,micro,17.0,swab,,,metagenome,Y,blank_1,core,2021-11-19,SoSOP2,,,SBR YD001 freezer 17,-80.0,Daguin; Thiebaut; Comtet,ROSKOGO_So_211119,,,,,EMOBON ROSKOGO So211119 micro blank,Claire Daguin-Thiebaut,,,,,,0000-0003-4665-6411,ebb_tide
EMOBON_ROSKOGO_So_21,2022-01-21,2022-02-23,2022-12-22,micro,,sediment [ENVO:00002007],F,,metagenome,N,1,core,2021-12-22,SoSOP2,,,SBR YD001 freezer 17,-80.0,Comtet & Broudin,ROSKOGO_So_211222,2022-01-18,2022-02-22,,,EMOBON ROSKOGO So211222 micro 1,Comtet,-70,,,,,,
EMOBON_ROSKOGO_So_22,2022-01-21,2022-02-23,2022-12-22,micro,,sediment [ENVO:00002007],F,,metagenome,N,2,core,2021-12-22,SoSOP2,,,SBR YD001 freezer 17,-80.0,Comtet & Broudin,ROSKOGO_So_211222,2022-01-18,2022-02-22,,,EMOBON ROSKOGO So211222 micro 2,Comtet,-70,,,,,,
EMOBON_ROSKOGO_So_23,,,2022-12-22,micro,,sediment [ENVO:00002007],,,metagenome,Y,3,core,2021-12-22,SoSOP2,,,SBR YD001 freezer 17,-80.0,Comtet & Broudin,ROSKOGO_So_211222,,,,,EMOBON ROSKOGO So211222 micro 3,Comtet,,,,,,,
EMOBON_ROSKOGO_So_24,,,2022-12-22,micro,,sediment [ENVO:00002007],,,metagenome,Y,4,core,2021-12-22,SoSOP2,,,SBR YD001 freezer 17,-80.0,Comtet & Broudin,ROSKOGO_So_211222,,,,,EMOBON ROSKOGO So211222 micro 4,Comtet,,,,,,,
EMOBON_ROSKOGO_So_25,,,2022-12-22,micro,,swab,,,metagenome,Y,blank_1,swab,2021-12-22,SoSOP2,,,SBR YD001 freezer 17,-80.0,Comtet & Broudin,ROSKOGO_So_211222,,,,,EMOBON ROSKOGO So211222 micro blank,Comtet,,,,,,,
EMOBON_ROSKOGO_So_26,2022-10-13,2023-10-17,2022-03-01,macro,17.0,sediment [ENVO:00002007],,,mimarks-specimen,N,1,McIntyre grab,2022-03-03,SoSOP3,,9.86,SBR YD101.2 fridge R10,4.0,"Houbin, Daguin, Comtet",ROSKOGO_So_220301,2022-10-11,2023-10-17,,,EMOBON ROSKOGO So220301 Macro 1,Céline Houbin,4,,,,0000-0002-4572-3371,0000-0002-4572-3371,ebb_tide
