source_mat_id,arr_date_hq,arr_date_seq,collection_date,depth,env_material,failure,failure_comment,investigation_type,long_store,membr_cut,replicate,samp_collect_device,samp_description,samp_mat_process,samp_mat_process_dev,samp_size_vol,samp_store_date,samp_store_loc,samp_store_temp,sampl_person,sampling_event,ship_date,ship_date_seq,size_frac,size_frac_low,size_frac_up,source_mat_id_orig,store_person,store_temp_hq,tax_id,time_fi,noteworthy_env_cond,other_person,other_person_orcid,sampl_person_orcid,store_person_orcid,tidal_stage
EMOBON_ROSKOGO_Wa_1,2021-10-22,2021-11-24,2021-06-18,2.0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],F,,metagenome,N,Y,1,Hand pump,EMOBON metagenome water sample from station ROSKOGO collected on 2021-06-18 size fraction 3-200um,WaSOP 1,na,7.5,2021-06-18,,-80.0,Christian Jeanthon; Laurence Garczarek,ROSKOGO_Wa_210618,2021-10-19,2021-11-24,3-200,3.0,200.0,EMO BON ROSKOGO Wa 210618 3µm_1,Christian Jeanthon,-70.0,1874687,12.0,,,,0000-0002-7339-574X; 0000-0002-8191-8395,0000-0002-7339-574X,flood_tide
EMOBON_ROSKOGO_Wa_2,2021-10-22,2021-11-24,2021-06-18,2.0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],F,,metagenome,N,Y,2,Hand pump,EMOBON metagenome water sample from station ROSKOGO collected on 2021-06-18 size fraction 3-200um,WaSOP 1,na,7.5,2021-06-18,,-80.0,Christian Jeanthon; Laurence Garczarek,ROSKOGO_Wa_210618,2021-10-19,2021-11-24,3-200,3.0,200.0,EMO BON ROSKOGO Wa 210618 3µm_2,Christian Jeanthon,-70.0,1874687,12.0,,,,0000-0002-7339-574X; 0000-0002-8191-8395,0000-0002-7339-574X,flood_tide
EMOBON_ROSKOGO_Wa_3,,,2021-06-18,2.0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,Y,3,Hand pump,EMOBON metagenome water sample from station ROSKOGO collected on 2021-06-18 size fraction 3-200um,WaSOP 1,na,7.5,2021-06-18,,-80.0,Christian Jeanthon; Laurence Garczarek,ROSKOGO_Wa_210618,,,3-200,3.0,200.0,EMO BON ROSKOGO Wa 210618 3µm_3,Christian Jeanthon,,1874687,12.5,,,,0000-0002-7339-574X; 0000-0002-8191-8395,0000-0002-7339-574X,flood_tide
EMOBON_ROSKOGO_Wa_4,,,2021-06-18,2.0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,Y,4,Hand pump,EMOBON metagenome water sample from station ROSKOGO collected on 2021-06-18 size fraction 3-200um,WaSOP 1,na,7.5,2021-06-18,,-80.0,Christian Jeanthon; Laurence Garczarek,ROSKOGO_Wa_210618,,,3-200,3.0,200.0,EMO BON ROSKOGO Wa 210618 3µm_4,Christian Jeanthon,,1874687,12.5,,,,0000-0002-7339-574X; 0000-0002-8191-8395,0000-0002-7339-574X,flood_tide
EMOBON_ROSKOGO_Wa_5,2021-10-22,2021-11-24,2021-06-18,2.0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],T,non-quantifiable DNA after extraction,metagenome,N,Y,1,Hand pump,EMOBON metagenome water sample from station ROSKOGO collected on 2021-06-18 size fraction 0.2-3um,WaSOP 1,na,7.5,2021-06-18,,-80.0,Christian Jeanthon; Laurence Garczarek,ROSKOGO_Wa_210618,2021-10-19,2021-11-24,0.2-3,0.2,3.0,EMO BON ROSKOGO Wa 210618 0.22µm_1,Christian Jeanthon,-70.0,1874687,12.0,,,,0000-0002-7339-574X; 0000-0002-8191-8395,0000-0002-7339-574X,flood_tide
EMOBON_ROSKOGO_Wa_6,2021-10-22,2021-11-24,2021-06-18,2.0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],T,low yields; seq library prep failed,metagenome,N,Y,2,Hand pump,EMOBON metagenome water sample from station ROSKOGO collected on 2021-06-18 size fraction 0.2-3um,WaSOP 1,na,7.5,2021-06-18,,-80.0,Christian Jeanthon; Laurence Garczarek,ROSKOGO_Wa_210618,2021-10-19,2021-11-24,0.2-3,0.2,3.0,EMO BON ROSKOGO Wa 210618 0.22µm_2,Christian Jeanthon,-70.0,1874687,12.0,,,,0000-0002-7339-574X; 0000-0002-8191-8395,0000-0002-7339-574X,flood_tide
EMOBON_ROSKOGO_Wa_7,,,2021-06-18,2.0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,Y,3,Hand pump,EMOBON metagenome water sample from station ROSKOGO collected on 2021-06-18 size fraction 0.2-3um,WaSOP 1,na,7.5,2021-06-18,,-80.0,Christian Jeanthon; Laurence Garczarek,ROSKOGO_Wa_210618,,,0.2-3,0.2,3.0,EMO BON ROSKOGO Wa 210618 0.22µm_3,Christian Jeanthon,,1874687,12.5,,,,0000-0002-7339-574X; 0000-0002-8191-8395,0000-0002-7339-574X,flood_tide
EMOBON_ROSKOGO_Wa_8,,,2021-06-18,2.0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,Y,4,Hand pump,EMOBON metagenome water sample from station ROSKOGO collected on 2021-06-18 size fraction 0.2-3um,WaSOP 1,na,7.5,2021-06-18,,-80.0,Christian Jeanthon; Laurence Garczarek,ROSKOGO_Wa_210618,,,0.2-3,0.2,3.0,EMO BON ROSKOGO Wa 210618 0.22µm_4,Christian Jeanthon,,1874687,12.5,,,,0000-0002-7339-574X; 0000-0002-8191-8395,0000-0002-7339-574X,flood_tide
EMOBON_ROSKOGO_Wa_9,,,2021-06-18,2.0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,Y,blank_1,Hand pump,EMOBON metagenome water sample from station ROSKOGO collected on 2021-06-18 size fraction 3um,WaSOP 1,na,7.5,2021-06-18,,-80.0,Christian Jeanthon; Laurence Garczarek,ROSKOGO_Wa_210618,,,3,3.0,,EMO BON ROSKOGO Wa 210618 3µm_Blank,Christian Jeanthon,,256318,13.0,,,,0000-0002-7339-574X; 0000-0002-8191-8395,0000-0002-7339-574X,flood_tide
EMOBON_ROSKOGO_Wa_10,,,2021-06-18,2.0,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,Y,blank_2,Hand pump,EMOBON metagenome water sample from station ROSKOGO collected on 2021-06-18 size fraction 3um,WaSOP 1,na,7.5,2021-06-18,,-80.0,Christian Jeanthon; Laurence Garczarek,ROSKOGO_Wa_210618,,,3,3.0,,EMO BON ROSKOGO Wa 210618 3µm_Blank,Christian Jeanthon,,256318,13.0,,,,0000-0002-7339-574X; 0000-0002-8191-8395,0000-0002-7339-574X,flood_tide
