source_mat_id,arr_date_hq,arr_date_seq,collection_date,depth,env_material,failure,failure_comment,investigation_type,long_store,membr_cut,replicate,samp_collect_device,samp_description,samp_mat_process,samp_mat_process_dev,samp_size_vol,samp_store_date,samp_store_loc,samp_store_temp,sampl_person,sampling_event,ship_date,ship_date_seq,size_frac,size_frac_low,size_frac_up,source_mat_id_orig,store_person,store_temp_hq,tax_id,time_fi,noteworthy_env_cond,other_person,other_person_orcid,sampl_person_orcid,store_person_orcid,tidal_stage
EMOBON_VB_Wa_1,2021-10-14,2021-11-24,2021-06-21,1,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],F,,metagenome,,Y,1,Niskin,EMOBON metagenome water sample from station VB collected on 2021-06-21 size fraction 3-9999um,WaSOP 1,bleach,13.0,2021-06-21,-80°C galeriens 1st shelf left,-80.0,Louis Caray--Counil,VB_Wa_210621,2021-10-12,2021-11-24,,3.0,,EMO BON VB 210621 Wa 3µm (1),Louis Caray--Counil,-70.0,1874687,1.0,,Cecile Fauvelot,0000-0003-0806-1222,,,no_tide
EMOBON_VB_Wa_2,2021-10-14,2021-11-24,2021-06-21,1,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],F,,metagenome,,Y,2,Niskin,EMOBON metagenome water sample from station VB collected on 2021-06-21 size fraction 3-9999um,WaSOP 1,bleach,13.0,2021-06-21,-80°C galeriens 1st shelf left,-80.0,Louis Caray--Counil,VB_Wa_210621,2021-10-12,2021-11-24,,3.0,,EMO BON VB 210621 Wa 3µm (2),Louis Caray--Counil,-70.0,1874687,1.0,,Cecile Fauvelot,0000-0003-0806-1222,,,no_tide
EMOBON_VB_Wa_3,,,2021-06-21,,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,Y,blank_1,,EMOBON metagenome water sample from station VB collected on 2021-06-21 size fraction 3-9999um,WaSOP 1,bleach,10.0,2021-06-21,-80°C galeriens 1st shelf left,-80.0,Louis Caray--Counil,VB_Wa_210621,,,,3.0,,EMO BON VB 210621 Wa 3µm blank ,Louis Caray--Counil,,256318,1.0,,Cecile Fauvelot,0000-0003-0806-1222,,,no_tide
EMOBON_VB_Wa_4,2021-10-14,2021-11-24,2021-06-21,1,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],F,,metagenome,N,Y,1,Niskin,EMOBON metagenome water sample from station VB collected on 2021-06-21 size fraction 0.2-3um,WaSOP 1,bleach,13.0,2021-06-21,-80°C galeriens 1st shelf left,-80.0,Louis Caray--Counil,VB_Wa_210621,2021-10-12,2021-11-24,,0.2,3.0,EMO BON VB 210621 Wa 0.2µm (1),Louis Caray--Counil,-70.0,1874687,1.0,,Cecile Fauvelot,0000-0003-0806-1222,,,no_tide
EMOBON_VB_Wa_5,2021-10-14,2021-11-24,2021-06-21,1,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],F,,metagenome,N,Y,2,Niskin,EMOBON metagenome water sample from station VB collected on 2021-06-21 size fraction 0.2-3um,WaSOP 1,bleach,13.0,2021-06-21,-80°C galeriens 1st shelf left,-80.0,Louis Caray--Counil,VB_Wa_210621,2021-10-12,2021-11-24,,0.2,3.0,EMO BON VB 210621 Wa 0.2µm (2),Louis Caray--Counil,-70.0,1874687,1.0,,Cecile Fauvelot,0000-0003-0806-1222,,,no_tide
EMOBON_VB_Wa_6,,,2021-06-21,,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,Y,blank_1,,EMOBON metagenome water sample from station VB collected on 2021-06-21 size fraction 0.2-3um,WaSOP 1,bleach,10.0,2021-06-21,-80°C galeriens 1st shelf left,-80.0,Louis Caray--Counil,VB_Wa_210621,,,,0.2,3.0,EMO BON VB 210621 Wa 0.2µm blank ,Louis Caray--Counil,,256318,1.0,,Cecile Fauvelot,0000-0003-0806-1222,,,no_tide
EMOBON_VB_Wa_7,,,2021-06-21,0-50,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,N,1,20µm WP2 net,EMOBON metagenome water sample from station VB collected on 2021-06-21 size fraction 20um,WaSOP 2,bleach,,2021-06-21,-80°C galeriens 1st shelf left,-80.0,Louis Caray--Counil,VB_Wa_210621,,,20.0,20.0,,EMO BON VB 210621 Wa 20µm (1),Louis Caray--Counil,,1874687,,,Cecile Fauvelot,0000-0003-0806-1222,,,no_tide
EMOBON_VB_Wa_8,,,2021-06-21,0-50,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,N,2,20µm WP2 net,EMOBON metagenome water sample from station VB collected on 2021-06-21 size fraction 20um,WaSOP 2,bleach,,2021-06-21,-80°C galeriens 1st shelf left,-80.0,Louis Caray--Counil,VB_Wa_210621,,,20.0,20.0,,EMO BON VB 210621 Wa 20µm (2),Louis Caray--Counil,,1874687,,,Cecile Fauvelot,0000-0003-0806-1222,,,no_tide
EMOBON_VB_Wa_9,,,2021-06-21,0-50,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,N,3,20µm WP2 net,EMOBON metagenome water sample from station VB collected on 2021-06-21 size fraction 20um,WaSOP 2,bleach,,2021-06-21,-80°C galeriens 1st shelf left,-80.0,Louis Caray--Counil,VB_Wa_210621,,,20.0,20.0,,EMO BON VB 210621 Wa 20µm (3),Louis Caray--Counil,,1874687,,,Cecile Fauvelot,0000-0003-0806-1222,,,no_tide
EMOBON_VB_Wa_10,,,2021-06-21,0-50,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],,,metagenome,Y,N,4,20µm WP2 net,EMOBON metagenome water sample from station VB collected on 2021-06-21 size fraction 20um,WaSOP 2,bleach,,2021-06-21,-80°C galeriens 1st shelf left,-80.0,Louis Caray--Counil,VB_Wa_210621,,,20.0,20.0,,EMO BON VB 210621 Wa 20µm (4),Louis Caray--Counil,,1874687,,,Cecile Fauvelot,0000-0003-0806-1222,,,no_tide
